"Name(ocultar)";"Futbolista_ID";"GK";"DL";"DC";"DR";"WBL";"WBR";"DM";"ML";"MC";"MR";"AML";"AMC";"AMR";"ST"
"Antonio Rüdiger";"35";"1";"10";"20";"12";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Toni Kroos";"36";"1";"1";"1";"1";"1";"1";"17";"10";"20";"1";"1";"11";"1";"1"
"Luis Díaz";"37";"1";"1";"1";"1";"1";"1";"1";"11";"1";"8";"20";"13";"14";"12"
"Bruno Fernandes";"38";"1";"1";"1";"1";"1";"1";"1";"10";"16";"10";"12";"20";"14";"10"
"Mason Mount";"39";"1";"1";"1";"1";"1";"1";"14";"1";"15";"1";"16";"20";"15";"1"
"Leroy Sané";"40";"1";"1";"1";"1";"12";"12";"1";"15";"10";"15";"20";"17";"18";"10"
"İlkay Gündogan";"41";"1";"1";"1";"1";"1";"1";"16";"11";"20";"10";"11";"16";"10";"1"
"Édouard Mendy";"42";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Yannick Carrasco";"43";"1";"14";"1";"1";"19";"1";"1";"18";"1";"15";"20";"12";"16";"10"
"Reece James";"44";"1";"10";"16";"20";"10";"19";"15";"1";"13";"12";"1";"1";"1";"1"
"David Alaba";"45";"1";"20";"19";"1";"17";"1";"14";"12";"17";"1";"12";"10";"1";"1"
"Mateo Kovačić";"46";"1";"1";"1";"1";"1";"1";"18";"10";"20";"10";"7";"15";"5";"1"
"Kyle Walker";"47";"5";"10";"14";"20";"1";"18";"1";"1";"1";"5";"1";"1";"5";"1"
"Marco Verratti";"48";"1";"1";"1";"1";"1";"1";"18";"1";"20";"1";"1";"12";"1";"1"
"Leon Goretzka";"49";"1";"10";"1";"10";"10";"10";"17";"12";"20";"12";"10";"16";"10";"1"
"Jorginho";"50";"1";"1";"1";"1";"1";"1";"20";"1";"20";"1";"1";"10";"1";"1"
"Marquinhos";"51";"1";"1";"20";"14";"1";"1";"16";"1";"1";"1";"1";"1";"1";"1"
"Phil Foden";"52";"1";"1";"1";"1";"1";"1";"1";"1";"14";"1";"20";"20";"17";"14"
"Frenkie de Jong";"53";"1";"1";"15";"1";"1";"1";"20";"10";"20";"10";"10";"13";"10";"1"
"Rafael Leão";"54";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20";"14";"12";"17"
"Gabriel Jesus";"55";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"15";"11";"17";"20"
"Antoine Griezmann";"56";"1";"1";"1";"1";"1";"1";"1";"12";"1";"11";"19";"19";"19";"20"
"Romelu Lukaku";"57";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Jules Koundé";"58";"1";"1";"20";"15";"1";"15";"1";"1";"1";"1";"1";"1";"1";"1"
"Declan Rice";"59";"1";"1";"16";"1";"1";"1";"20";"1";"19";"1";"1";"1";"1";"1"
"Kingsley Coman";"60";"1";"1";"1";"1";"12";"12";"1";"15";"10";"15";"20";"12";"18";"12"
"Sergej Milinković-Savić";"61";"1";"1";"1";"1";"1";"1";"11";"7";"20";"6";"8";"17";"7";"11"
"Ousmane Dembélé";"62";"1";"1";"1";"1";"1";"1";"1";"16";"1";"17";"19";"14";"20";"13"
"Gianluigi Donnarumma";"63";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Casemiro";"64";"1";"1";"9";"1";"1";"1";"20";"1";"19";"1";"1";"1";"1";"1"
"Mike Maignan";"65";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Milan Škriniar";"66";"1";"5";"20";"12";"1";"1";"10";"1";"5";"1";"1";"1";"1";"1"
"Sergio Ramos";"67";"1";"1";"20";"12";"1";"10";"8";"1";"1";"1";"1";"1";"1";"1"
"Lautaro Martínez";"68";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"13";"1";"20"
"Christian Eriksen";"69";"1";"1";"1";"1";"1";"1";"17";"12";"20";"12";"14";"19";"13";"1"
"Bukayo Saka";"70";"1";"13";"1";"1";"14";"10";"1";"12";"8";"12";"19";"1";"20";"1"
"John Stones";"71";"1";"1";"20";"10";"1";"1";"12";"1";"1";"1";"1";"1";"1";"1"
"Fabinho";"72";"1";"1";"16";"17";"1";"14";"20";"1";"16";"1";"1";"1";"1";"1"
"Nicolò Barella";"73";"1";"1";"1";"1";"1";"1";"12";"8";"20";"8";"1";"14";"1";"1"
"Achraf Hakimi";"74";"1";"12";"1";"20";"13";"20";"1";"12";"1";"17";"8";"1";"10";"1"
"Raphaël Varane";"75";"1";"1";"20";"10";"1";"1";"6";"1";"1";"1";"1";"1";"1";"1"
"Riyad Mahrez";"76";"1";"1";"1";"1";"1";"1";"1";"14";"1";"19";"15";"14";"20";"10"
"Ángel Di María";"77";"1";"1";"1";"1";"7";"1";"1";"17";"13";"18";"17";"16";"20";"9"
"Ciro Immobile";"78";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"6";"10";"6";"20"
"Kalidou Koulibaly";"79";"1";"1";"20";"10";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Trent Alexander-Arnold";"80";"1";"10";"1";"19";"12";"20";"13";"1";"15";"14";"1";"1";"1";"1"
"Paul Pogba";"81";"1";"1";"1";"1";"1";"1";"14";"15";"20";"11";"15";"15";"1";"1"
"Ronald Araujo";"82";"1";"1";"20";"10";"1";"1";"12";"1";"8";"1";"1";"1";"1";"1"
"Serge Gnabry";"83";"1";"1";"1";"1";"10";"14";"1";"15";"10";"15";"18";"12";"20";"18"
"Paulo Dybala";"84";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"12";"20";"15";"20"
"Éder Militão";"85";"1";"1";"20";"14";"1";"7";"10";"1";"1";"1";"1";"1";"1";"1"
"Alphonso Davies";"86";"1";"20";"1";"1";"18";"8";"1";"15";"1";"10";"15";"1";"12";"10"
"Martin Ødegaard";"87";"1";"1";"1";"1";"1";"1";"13";"10";"18";"13";"10";"20";"14";"8"
"Marcelo Brozović";"88";"1";"1";"1";"1";"1";"1";"18";"5";"20";"10";"3";"14";"8";"1"
"Pedri";"89";"1";"1";"1";"1";"1";"1";"1";"12";"20";"14";"15";"20";"16";"5"
"Aurélien Tchouameni";"90";"1";"1";"1";"1";"1";"1";"15";"1";"20";"1";"1";"1";"1";"1"
"João Félix";"91";"1";"1";"1";"1";"1";"1";"1";"12";"10";"12";"18";"20";"15";"19"
"Theo Hernández";"92";"1";"20";"10";"1";"20";"1";"1";"15";"1";"1";"10";"1";"1";"1"
"José Gayà";"93";"1";"20";"1";"1";"19";"1";"1";"18";"1";"1";"15";"1";"1";"1"
"José Giménez";"94";"1";"1";"20";"13";"1";"1";"12";"1";"1";"1";"1";"1";"1";"1"
"Presnel Kimpembe";"95";"1";"10";"20";"1";"1";"1";"7";"1";"1";"1";"1";"1";"1";"1"
"Marco Reus";"96";"1";"1";"1";"1";"1";"1";"1";"13";"8";"10";"20";"20";"15";"15"
"Andrew Robertson";"97";"1";"19";"1";"1";"20";"1";"1";"14";"1";"1";"12";"1";"1";"1"
"Mikel Oyarzábal";"98";"1";"1";"1";"1";"1";"1";"1";"1";"11";"1";"20";"17";"17";"15"
"Yves Bissouma";"99";"1";"1";"1";"1";"1";"12";"17";"1";"20";"1";"1";"1";"1";"1"
"Matthijs de Ligt";"100";"1";"7";"20";"9";"1";"1";"12";"1";"8";"1";"1";"1";"1";"5"
"Cristiano Ronaldo";"101";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"13";"10";"12";"20"
"Nicolás Otamendi";"102";"1";"1";"20";"13";"1";"1";"7";"1";"1";"1";"1";"1";"1";"1"
"Memphis Depay";"103";"1";"1";"1";"1";"1";"1";"1";"13";"1";"1";"18";"19";"13";"20"
"Keylor Navas";"104";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Christopher Nkunku";"105";"1";"1";"1";"1";"1";"10";"1";"15";"17";"15";"16";"20";"17";"14"
"Ben Chilwell";"106";"1";"20";"10";"1";"17";"1";"1";"10";"1";"1";"10";"1";"1";"1"
"Diogo Jota";"107";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20";"14";"18";"19"
"Pepe";"108";"1";"1";"20";"1";"1";"1";"13";"1";"1";"1";"1";"1";"1";"1"
"Victor Osimhen";"109";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"1";"10";"20"
"Dušan Tadić";"110";"1";"1";"1";"1";"4";"4";"3";"14";"14";"14";"20";"18";"18";"19"
"Joël Matip";"111";"1";"1";"20";"1";"1";"1";"12";"1";"8";"1";"1";"1";"1";"1"
"Sergio Canales";"112";"1";"1";"1";"1";"1";"1";"12";"1";"19";"1";"14";"20";"13";"5"
"Koke";"113";"1";"1";"1";"1";"1";"1";"20";"15";"20";"15";"10";"14";"8";"1"
"Pau Torres";"114";"1";"1";"20";"1";"1";"1";"14";"1";"10";"1";"1";"1";"1";"1"
"Sergio Busquets";"115";"1";"1";"8";"1";"1";"1";"20";"1";"18";"1";"1";"1";"1";"1"
"Franck Kessié";"116";"1";"1";"8";"1";"1";"1";"18";"1";"20";"1";"1";"12";"1";"1"
"Ferland Mendy";"117";"1";"20";"12";"12";"19";"9";"1";"1";"1";"1";"1";"1";"1";"1"
"Gonçalo Guedes";"118";"1";"1";"1";"1";"1";"1";"1";"19";"1";"17";"20";"18";"18";"18"
"Ángel Correa";"119";"1";"1";"1";"1";"1";"1";"1";"13";"1";"18";"15";"18";"20";"18"
"Kurt Zouma";"120";"1";"1";"20";"15";"1";"10";"14";"1";"1";"1";"1";"1";"1";"1"
"Sandro Tonali";"121";"1";"1";"1";"1";"1";"1";"19";"1";"20";"1";"1";"14";"1";"1"
"Eden Hazard";"122";"1";"1";"1";"1";"1";"1";"1";"13";"12";"11";"20";"19";"16";"10"
"Federico Chiesa";"123";"1";"1";"1";"1";"12";"12";"1";"19";"1";"18";"20";"12";"20";"14"
"Oleksandr Zinchenko";"124";"1";"20";"1";"8";"19";"8";"15";"15";"16";"16";"15";"16";"16";"7"
"Ivan Perišić";"125";"1";"12";"1";"1";"20";"1";"1";"15";"1";"10";"17";"10";"13";"12"
"Manuel Akanji";"126";"1";"1";"20";"12";"1";"8";"1";"1";"1";"1";"1";"1";"1";"1"
"Guido Rodríguez";"127";"1";"1";"10";"1";"1";"1";"20";"1";"20";"10";"1";"1";"1";"1"
"Alejandro Gómez";"128";"1";"1";"1";"1";"1";"1";"1";"10";"15";"1";"15";"20";"12";"15"
"Dani Parejo";"129";"1";"1";"1";"1";"1";"1";"18";"10";"20";"8";"1";"16";"1";"1"
"Andreas Christensen";"130";"1";"1";"20";"14";"1";"10";"16";"1";"16";"1";"1";"1";"1";"1"
"Lucas Hernández";"131";"1";"18";"20";"10";"14";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Sebastián Coates";"132";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10"
"Rafa";"133";"1";"1";"1";"1";"1";"1";"1";"14";"12";"12";"20";"20";"18";"14"
"Carlos Soler";"134";"1";"1";"1";"1";"1";"16";"16";"14";"20";"20";"13";"19";"19";"1"
"Roberto Firmino";"135";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"16";"18";"16";"20"
"Marcos Llorente";"136";"1";"1";"12";"13";"1";"18";"19";"1";"20";"19";"1";"18";"13";"14"
"Gerard Piqué";"137";"1";"1";"20";"1";"1";"1";"10";"1";"1";"1";"1";"1";"1";"1"
"Jamal Musiala";"138";"1";"1";"1";"1";"1";"1";"10";"12";"17";"12";"18";"20";"15";"12"
"Lorenzo Pellegrini";"139";"1";"1";"1";"1";"1";"1";"17";"1";"20";"1";"10";"20";"1";"1"
"Naby Keïta";"140";"1";"1";"1";"1";"1";"1";"18";"14";"20";"14";"1";"14";"1";"1"
"Fabián";"141";"1";"1";"1";"1";"1";"1";"18";"12";"20";"12";"10";"17";"10";"1"
"Piotr Zieliński";"142";"1";"1";"1";"1";"1";"1";"14";"13";"20";"12";"11";"20";"10";"1"
"Jadon Sancho";"143";"1";"1";"1";"1";"1";"1";"1";"20";"1";"18";"20";"14";"18";"10"
"Raphinha";"144";"1";"1";"1";"1";"1";"1";"1";"13";"1";"19";"19";"1";"20";"10"
"Jude Bellingham";"145";"1";"1";"1";"1";"1";"1";"18";"12";"20";"12";"10";"13";"10";"1"
"Timo Werner";"146";"1";"1";"1";"1";"1";"1";"1";"15";"1";"12";"18";"10";"13";"20"
"Unai Simón";"147";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Pablo Sarabia";"148";"1";"1";"1";"1";"10";"1";"1";"15";"13";"15";"17";"20";"19";"1"
"Christian Pulisic";"149";"1";"1";"1";"1";"1";"13";"1";"16";"8";"16";"20";"17";"17";"8"
"Rodrigo De Paul";"150";"1";"1";"1";"1";"1";"1";"1";"12";"20";"12";"16";"18";"15";"12"
"Niklas Süle";"151";"1";"10";"20";"17";"8";"12";"12";"1";"10";"1";"1";"1";"1";"1"
"Dayot Upamecano";"152";"1";"1";"20";"1";"1";"1";"12";"1";"10";"1";"1";"1";"1";"1"
"Gerard Moreno";"153";"1";"1";"1";"1";"1";"1";"1";"1";"1";"13";"8";"9";"16";"20"
"Ferran Torres";"154";"1";"1";"1";"1";"1";"1";"1";"13";"1";"14";"19";"12";"20";"18"
"Iago Aspas";"155";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"5";"17";"18";"20"
"Jordan Henderson";"156";"1";"1";"14";"13";"1";"12";"20";"1";"19";"14";"1";"8";"1";"1"
"Jordi Alba";"157";"1";"20";"1";"1";"19";"1";"1";"14";"1";"1";"12";"1";"1";"1"
"Dejan Kulusevski";"158";"1";"1";"1";"1";"1";"9";"1";"12";"14";"18";"14";"20";"20";"14"
"Nabil Fekir";"159";"1";"1";"1";"1";"1";"1";"1";"1";"12";"1";"16";"20";"16";"17"
"Denzel Dumfries";"160";"1";"10";"12";"20";"10";"20";"8";"1";"1";"18";"1";"1";"9";"1"
"Jesús Corona";"161";"1";"1";"1";"14";"1";"17";"1";"14";"1";"14";"19";"14";"20";"5"
"Kim Min-Jae";"162";"1";"1";"20";"5";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Nathan Aké";"163";"1";"17";"20";"1";"10";"1";"17";"1";"10";"1";"1";"1";"1";"1"
"Eric Dier";"164";"1";"5";"20";"8";"1";"1";"13";"1";"10";"1";"1";"1";"1";"1"
"Álvaro Morata";"165";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"14";"10";"1";"20"
"Mehdi Taremi";"166";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"17";"15";"10";"20"
"Jamie Vardy";"167";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"12";"10";"12";"20"
"Cristian Romero";"168";"1";"1";"20";"7";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Philippe Coutinho";"169";"1";"1";"1";"1";"1";"1";"1";"18";"15";"14";"18";"20";"14";"10"
"Iñaki Williams";"170";"1";"1";"1";"1";"1";"1";"1";"15";"1";"15";"19";"17";"20";"19"
"Hakan Çalhanoğlu";"171";"1";"1";"1";"1";"1";"1";"12";"17";"20";"11";"16";"17";"10";"7"
"James Maddison";"172";"1";"1";"1";"1";"1";"1";"1";"16";"18";"12";"16";"20";"18";"8"
"Tammy Abraham";"173";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Pedro Gonçalves";"174";"1";"1";"1";"1";"1";"1";"1";"12";"18";"10";"18";"20";"16";"14"
"Wojciech Szczęsny";"175";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Georginio Wijnaldum";"176";"1";"1";"1";"1";"1";"1";"20";"14";"20";"14";"16";"17";"12";"8"
"Fikayo Tomori";"177";"1";"12";"20";"14";"1";"13";"1";"1";"1";"1";"1";"1";"1";"1"
"Luis Alberto";"178";"1";"1";"1";"1";"1";"1";"11";"10";"20";"9";"11";"18";"11";"11"
"Rúben Neves";"179";"1";"1";"10";"1";"1";"1";"20";"1";"20";"1";"1";"1";"1";"1"
"Dušan Vlahović";"180";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Yann Sommer";"181";"20";"1";"1";"5";"1";"5";"1";"1";"1";"3";"1";"1";"3";"1"
"Mikel Merino";"182";"1";"1";"12";"1";"1";"1";"14";"8";"20";"1";"8";"14";"1";"1"
"Khvicha Kvaratskhelia";"183";"1";"1";"1";"1";"1";"1";"1";"12";"1";"10";"20";"15";"15";"12"
"André-Franck Zambo Anguissa";"184";"1";"1";"1";"1";"1";"1";"18";"1";"20";"1";"1";"1";"1";"1"
"Marc Cucurella";"185";"1";"19";"15";"1";"19";"1";"1";"20";"1";"1";"14";"1";"1";"1"
"Nacho";"186";"1";"15";"20";"17";"13";"13";"1";"1";"1";"1";"1";"1";"1";"1"
"Otávio";"187";"1";"1";"1";"1";"1";"1";"1";"15";"19";"20";"17";"19";"17";"5"
"Chris Smalling";"188";"1";"1";"20";"10";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Alessandro Bastoni";"189";"1";"10";"20";"1";"1";"1";"8";"1";"1";"1";"1";"1";"1";"1"
"Marco Asensio";"190";"1";"1";"1";"1";"1";"1";"1";"10";"12";"12";"19";"18";"20";"6"
"Kieran Trippier";"191";"1";"15";"1";"20";"14";"19";"1";"1";"1";"13";"1";"1";"1";"1"
"Juan Cuadrado";"192";"1";"12";"1";"19";"12";"20";"1";"10";"1";"20";"10";"1";"16";"1"
"Benjamin Pavard";"193";"1";"12";"20";"20";"10";"16";"12";"1";"10";"1";"1";"1";"1";"1"
"James Ward-Prowse";"194";"1";"1";"1";"12";"1";"12";"18";"10";"20";"14";"10";"14";"14";"1"
"Dani Olmo";"195";"1";"1";"1";"1";"1";"1";"1";"13";"18";"13";"16";"20";"16";"10"
"Giovanni Di Lorenzo";"196";"1";"11";"16";"20";"10";"17";"1";"8";"1";"15";"1";"1";"1";"1"
"Cody Gakpo";"197";"1";"1";"1";"1";"1";"1";"1";"16";"12";"13";"20";"14";"17";"19"
"Raúl Albiol";"198";"1";"1";"20";"10";"1";"1";"10";"1";"1";"1";"1";"1";"1";"1"
"Samir Handanovič";"199";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Rodrygo";"200";"1";"1";"1";"1";"1";"1";"1";"12";"1";"14";"19";"1";"20";"16"
"William Carvalho";"201";"1";"1";"10";"1";"1";"1";"18";"1";"20";"1";"1";"1";"1";"1"
"João Palhinha";"202";"1";"1";"14";"1";"1";"1";"20";"1";"17";"1";"1";"1";"1";"1"
"Steven Berghuis";"203";"1";"1";"1";"1";"1";"1";"1";"14";"14";"17";"16";"18";"20";"16"
"Leandro Trossard";"204";"1";"1";"1";"1";"17";"1";"1";"17";"1";"1";"20";"19";"14";"15"
"Patrik Schick";"205";"1";"1";"1";"1";"1";"1";"1";"10";"1";"14";"10";"12";"14";"20"
"Dani Carvajal";"206";"1";"14";"1";"20";"10";"18";"1";"1";"1";"8";"1";"1";"1";"1"
"Iker Muniain";"207";"1";"1";"1";"1";"1";"1";"1";"16";"16";"14";"18";"20";"16";"11"
"Ismaël Bennacer";"208";"1";"1";"1";"1";"1";"1";"20";"8";"20";"10";"1";"13";"1";"1"
"Dominic Calvert-Lewin";"209";"1";"1";"5";"1";"1";"1";"1";"10";"8";"8";"14";"11";"12";"20"
"Ibrahima Konaté";"210";"1";"1";"20";"1";"1";"1";"12";"1";"10";"1";"1";"1";"1";"1"
"Zlatan Ibrahimović";"211";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"9";"1";"20"
"Lucas Ocampos";"212";"1";"1";"1";"1";"1";"1";"1";"15";"1";"15";"19";"10";"20";"14"
"Youri Tielemans";"213";"1";"1";"1";"1";"1";"1";"18";"8";"20";"8";"1";"14";"1";"1"
"Kostas Tsimikas";"214";"1";"18";"1";"1";"20";"1";"1";"14";"1";"1";"7";"1";"1";"1"
"Kalvin Phillips";"215";"1";"1";"12";"1";"1";"1";"20";"1";"17";"1";"1";"9";"1";"1"
"Joe Gomez";"216";"1";"15";"20";"17";"1";"13";"12";"1";"1";"1";"1";"1";"1";"1"
"Wissam Ben Yedder";"217";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"14";"12";"20"
"Arkadiusz Milik";"218";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"12";"1";"20"
"Leonardo Bonucci";"219";"1";"1";"20";"1";"1";"1";"6";"1";"1";"1";"1";"1";"1";"1"
"Marcus Rashford";"220";"1";"1";"1";"1";"1";"1";"1";"14";"1";"11";"20";"14";"14";"17"
"Kieran Tierney";"221";"1";"20";"15";"13";"19";"13";"1";"1";"1";"1";"1";"1";"1";"1"
"David Silva";"222";"1";"1";"1";"1";"1";"1";"4";"15";"20";"15";"15";"20";"15";"9"
"David Neres";"223";"1";"1";"1";"1";"1";"1";"1";"16";"7";"18";"18";"14";"20";"14"
"Stefan de Vrij";"224";"1";"1";"20";"8";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Duván Zapata";"225";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Wesley Fofana";"226";"1";"1";"20";"12";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Arnaut Danjuma";"227";"1";"1";"1";"1";"1";"1";"1";"17";"11";"11";"20";"14";"15";"11"
"Steven Bergwijn";"228";"1";"1";"1";"1";"1";"1";"1";"16";"12";"16";"20";"15";"18";"15"
"Bremer";"229";"1";"1";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Alexander Isak";"230";"1";"1";"1";"1";"1";"1";"1";"12";"1";"12";"12";"10";"12";"20"
"Mats Hummels";"231";"1";"1";"20";"10";"1";"6";"12";"1";"1";"1";"1";"1";"1";"1"
"Stefan Savić";"232";"1";"7";"20";"13";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Olivier Giroud";"233";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Borja Iglesias";"234";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"1";"14";"20"
"Diogo Costa";"235";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Moussa Diaby";"236";"1";"1";"1";"1";"1";"1";"1";"20";"1";"17";"20";"12";"17";"1"
"Edin Džeko";"237";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"20"
"Mateus Uribe";"238";"1";"1";"1";"1";"1";"12";"18";"1";"20";"1";"1";"1";"1";"1"
"Diego Carlos";"239";"1";"1";"20";"1";"1";"1";"14";"1";"1";"1";"1";"1";"1";"1"
"Idrissa Gueye";"240";"1";"10";"1";"1";"10";"1";"20";"1";"18";"1";"1";"1";"1";"1"
"Ricardo Horta";"241";"1";"1";"1";"1";"1";"1";"1";"14";"1";"12";"20";"19";"18";"15"
"Álex Remiro";"242";"20";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"Edson Álvarez";"243";"1";"1";"20";"13";"1";"1";"18";"1";"17";"1";"1";"1";"1";"1"
"James Rodríguez";"244";"1";"1";"1";"1";"1";"1";"1";"14";"14";"14";"16";"20";"17";"9"
"Thomas Partey";"245";"1";"1";"8";"8";"1";"8";"19";"1";"20";"8";"1";"10";"8";"1"
"Marko Arnautović";"246";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"11";"10";"10";"20"
"Nicolò Zaniolo";"247";"1";"1";"1";"1";"1";"1";"1";"12";"15";"12";"12";"20";"19";"15"
