"Futbolista_ID";"Reputación actual(9999)";"Reputación nacional (9999)";"Reputación mundial(9999)"
"147";"7700";"7700";"6950"
"148";"7700";"7450";"6750"
"149";"7500";"7800";"6750"
"150";"7500";"7650";"6700"
"151";"7494";"7494";"6994"
"152";"7700";"7250";"7200"
"153";"7700";"7700";"5000"
"154";"7698";"7698";"7248"
"155";"7600";"7600";"6000"
"156";"7700";"7700";"7250"
"157";"7700";"7700";"7500"
"158";"7650";"7250";"6850"
"159";"7650";"7400";"7000"
"160";"7650";"7100";"6600"
"161";"7500";"7700";"6750"
"162";"7650";"6577";"6071"
"163";"7650";"6815";"6526"
"164";"7642";"7642";"6342"
"165";"7700";"7700";"7400"
"166";"7650";"8150";"6650"
"167";"7650";"7400";"6500"
"168";"7650";"7550";"6400"
"169";"7650";"8150";"7250"
"170";"7650";"7650";"6900"
"171";"7650";"7350";"6800"
"172";"7750";"7400";"6000"
"173";"7650";"7250";"6500"
"174";"7600";"7250";"6100"
"175";"7650";"8250";"7500"
"176";"7650";"8000";"6500"
"177";"7650";"7100";"6400"
"178";"7650";"7550";"7250"
"179";"7600";"7600";"6250"
"180";"7650";"7650";"6750"
"181";"7649";"7699";"6649"
"182";"7650";"7650";"5500"
"183";"7650";"6297";"5631"
"184";"7650";"6777";"6425"
"185";"7650";"7650";"6000"
"186";"7650";"7650";"6650"
"187";"7650";"7500";"6150"
"188";"7600";"6768";"6266"
"189";"7600";"7650";"7150"
"190";"7600";"7600";"7000"
"191";"7595";"7745";"6595"
"192";"7600";"7850";"7600"
"193";"7599";"7549";"7099"
"194";"7600";"7600";"6450"
"195";"7600";"7600";"6600"
"196";"7600";"7750";"6400"
"197";"7598";"7598";"6648"
"198";"7600";"7600";"5900"
"199";"7550";"6250";"6750"
"200";"7595";"7495";"6995"
"201";"7400";"7650";"6500"
"202";"7500";"7500";"6000"
"203";"7300";"7300";"6250"
"204";"7600";"7600";"6250"
"205";"7600";"7000";"6250"
"206";"7592";"7592";"6992"
"207";"7600";"7600";"6850"
"208";"7596";"7496";"6396"
"209";"7600";"7800";"6250"
"210";"7600";"6328";"6123"
"211";"7600";"8472";"7574"
"212";"7595";"7595";"5995"
"213";"7600";"7600";"6500"
"214";"7600";"7600";"6000"
"215";"7593";"7593";"6743"
"216";"7550";"7200";"6000"
"217";"7550";"7550";"6800"
"218";"7550";"7850";"6800"
"219";"7550";"8000";"7500"
"220";"7750";"7850";"7000"
"221";"7541";"7541";"6741"
"222";"7550";"7550";"7500"
"223";"7544";"7094";"6494"
"224";"7550";"7500";"6750"
"225";"7550";"7500";"6600"
"226";"7650";"7250";"5750"
"227";"7300";"7300";"5750"
"228";"7250";"7250";"5750"
"229";"7550";"7550";"5750"
"230";"7450";"6759";"5507"
"231";"7849";"7849";"7249"
"232";"7550";"7550";"7050"
"233";"7550";"7450";"7250"
"234";"7100";"7100";"6000"
"235";"7400";"7500";"5900"
"236";"7500";"7250";"6000"
"237";"7500";"7750";"6900"
"238";"7000";"7500";"6000"
"239";"7500";"7500";"6000"
"240";"7500";"7500";"6750"
"241";"7500";"7200";"6000"
"242";"7493";"7493";"5493"
"243";"7495";"7495";"6245"
"244";"7500";"8250";"6750"
"245";"7500";"7750";"6900"
"246";"7500";"7500";"6300"
"247";"7500";"7300";"6750"
"248";"7496";"7496";"6496"
"249";"7300";"7300";"6000"
"250";"7250";"7250";"6050"
"251";"7500";"7500";"5500"
"252";"7500";"7500";"6400"
"253";"7250";"7000";"6000"
"254";"7400";"7500";"6012"
"255";"7500";"7500";"6000"
"256";"7500";"6800";"6500"
"257";"7500";"6570";"6318"
"258";"7499";"7999";"6249"
"259";"7490";"7490";"6490"
"260";"7493";"6745";"5993"
"261";"7300";"6950";"6000"
"262";"7600";"7250";"6500"
"263";"7700";"7500";"7000"
"264";"7500";"7500";"6250"
"265";"7500";"8100";"7250"
"266";"7500";"7500";"6250"
"267";"7500";"7500";"6500"
"268";"7500";"7250";"6750"
"269";"7600";"7300";"5550"
"270";"7600";"7100";"6050"
"271";"7248";"7248";"5998"
"272";"7450";"6471";"6087"
"273";"7444";"6894";"6094"
"274";"7600";"7500";"6250"
"275";"7300";"7450";"6750"
"276";"7400";"7250";"6600"
"277";"7450";"7450";"5750"
"278";"7800";"7800";"6900"
"279";"7443";"6615";"6181"
"280";"7450";"6900";"6000"
"281";"6997";"6997";"4747"
"282";"7446";"7846";"6496"
"283";"7447";"7747";"5497"
"284";"7450";"7150";"6000"
"285";"7250";"7250";"6100"
"286";"7450";"7150";"5850"
"287";"7450";"7100";"5500"
"288";"7429";"7433";"6486"
"289";"7450";"8000";"6900"
"290";"7449";"7749";"5999"
"291";"7450";"7450";"6500"
"292";"7450";"7250";"6500"
"293";"7450";"7450";"6750"
"294";"7539";"7739";"6489"
"295";"7250";"7250";"6250"
"296";"7450";"7500";"7000"
"297";"7400";"7100";"6400"
"298";"7400";"7750";"6500"
"299";"7598";"7598";"6248"
"300";"7400";"6700";"6500"
"301";"7399";"7399";"6899"
"302";"7500";"7150";"6000"
"303";"7400";"7950";"6250"
"304";"7250";"7000";"6250"
"305";"7381";"7387";"7387"
"306";"7400";"7300";"6500"
"307";"7400";"7250";"6500"
"308";"7400";"7250";"6350"
"309";"7400";"7750";"6000"
"310";"7299";"7099";"5999"
"311";"7389";"6614";"5516"
"312";"7400";"7400";"6500"
"313";"7400";"7750";"6500"
"314";"7400";"7300";"6250"
"315";"7400";"7400";"3500"
"316";"7250";"7250";"6000"
"317";"7250";"7250";"6000"
"318";"7400";"7150";"6250"
"319";"7400";"7350";"6200"
"320";"7400";"7250";"6000"
"321";"7550";"8228";"7230"
"322";"7500";"7950";"6693"
"323";"7050";"7050";"6750"
"324";"7600";"7250";"5500"
"325";"7300";"7600";"6100"
"326";"7392";"7392";"6492"
"327";"7800";"7000";"7750"
"328";"7400";"7300";"6000"
"329";"7560";"7560";"4744"
"330";"7343";"7343";"5843"
"331";"7300";"7500";"5900"
"332";"7350";"7550";"6500"
"333";"7350";"7350";"6250"
"334";"7500";"8000";"7500"
"335";"7350";"8097";"5897"
"336";"7350";"7450";"6250"
"337";"7350";"7400";"6250"
"338";"7350";"6800";"7000"
"339";"7350";"7150";"5700"
"340";"7348";"7348";"7148"
"341";"7350";"7350";"4750"
"342";"7350";"7800";"7000"
"343";"7500";"7500";"7250"
"344";"7350";"7250";"6300"
"345";"7350";"7050";"6250"
"346";"7750";"7900";"6972"
"347";"7342";"7242";"6142"
"348";"7500";"7500";"6500"
"349";"7339";"7239";"5789"
"350";"7100";"7900";"6500"
"351";"7350";"7150";"5900"
"352";"7350";"7350";"6500"
"353";"7350";"7500";"7250"
"354";"7450";"7100";"6000"
"355";"7350";"7250";"6250"
"356";"7350";"6043";"6949"
"357";"7350";"7350";"6500"
"358";"7474";"7474";"6735"
"359";"7350";"7250";"6250"
"360";"7700";"7700";"7000"
"361";"7350";"7350";"6600"
"362";"7300";"7450";"6250"
"363";"7300";"7400";"6150"
"364";"7300";"7350";"6000"
"365";"7300";"7000";"5750"
"366";"7350";"7500";"6700"
"367";"7350";"7350";"4500"
"368";"7300";"6750";"5800"
"369";"6950";"7250";"6000"
"370";"7398";"7398";"6748"
"371";"7300";"7800";"6250"
"372";"7300";"7500";"6500"
"373";"7200";"7200";"5750"
"374";"7294";"6894";"6294"
"375";"7300";"6950";"6000"
"376";"7218";"7229";"5243"
"377";"7200";"7200";"6500"
"378";"7300";"7300";"5500"
"379";"7300";"7450";"5950"
"380";"7300";"7500";"6250"
"381";"7300";"7050";"6300"
"382";"7298";"7398";"5698"
"383";"7300";"7300";"6100"
"384";"7594";"7594";"5765"
"385";"7507";"7507";"6253"
"386";"7250";"6550";"5500"
"387";"7248";"7248";"5998"
"388";"7250";"7800";"7000"
"389";"7250";"7000";"6250"
"390";"7150";"7150";"5000"
"391";"7500";"7500";"6750"
"392";"7250";"7250";"5850"
"393";"6999";"7499";"6749"
"394";"7250";"6950";"6500"
"395";"7394";"7394";"5994"
"396";"7150";"7150";"5800"
"397";"7250";"7200";"6500"
"398";"7250";"6486";"5870"
"399";"7250";"7250";"5500"
"400";"7241";"6511";"5753"
"401";"7250";"7400";"5850"
"402";"7250";"7995";"6995"
"403";"7250";"7250";"5250"
"404";"7247";"7147";"6252"
"405";"7245";"7245";"4895"
"406";"7250";"7250";"6500"
"407";"7250";"7250";"6250"
"408";"7150";"7150";"5650"
"409";"7250";"7100";"6400"
"410";"7250";"6900";"6750"
"411";"7250";"7250";"6000"
"412";"7250";"6650";"5250"
"413";"6600";"6600";"5600"
"414";"7250";"7250";"5750"
"415";"7250";"7600";"6250"
"416";"7500";"7200";"6750"
"417";"7443";"7443";"6193"
"418";"7250";"7250";"6500"
"419";"7250";"7150";"5750"
"420";"7250";"7450";"6450"
"421";"7250";"7100";"6000"
"422";"7250";"7250";"6200"
"423";"7250";"7250";"6250"
"424";"7249";"7249";"6749"
"425";"7550";"8155";"6464"
"426";"7250";"7250";"6000"
"427";"7250";"5966";"7262"
"428";"7250";"7100";"6250"
"429";"7250";"6505";"6505"
"430";"7250";"6800";"5750"
"431";"7250";"7300";"6000"
"432";"7150";"7150";"5750"
"433";"7250";"7250";"6200"
"434";"7250";"7250";"6500"
"435";"7250";"7250";"4750"
"436";"7100";"7100";"4500"
"437";"7249";"7249";"6249"
"438";"7200";"7500";"6150"
"439";"7200";"7000";"6500"
"440";"7200";"7200";"5750"
"441";"7200";"7200";"6500"
"442";"7200";"7200";"6450"
"443";"7000";"7000";"5500"
"444";"7000";"6361";"5077"
"445";"7000";"7250";"6500"
"446";"7200";"7150";"6250"
"447";"7242";"7492";"6492"
"448";"7200";"7200";"5500"
"449";"7200";"7200";"6250"
"450";"7200";"7150";"5850"
"451";"7600";"7750";"6250"
"452";"7192";"6894";"6265"
"453";"7200";"7100";"5550"
"454";"7255";"7251";"5511"
"455";"7200";"7200";"4500"
"456";"7199";"7199";"6199"
"457";"7200";"7200";"6000"
"458";"7200";"7250";"6350"
"459";"7200";"7850";"6000"
"460";"7200";"7200";"6000"
"461";"7400";"7600";"7000"
"462";"7200";"6900";"6000"
"463";"7258";"7518";"5577"
"464";"7195";"7195";"6745"
"465";"7200";"7250";"5700"
"466";"7200";"7500";"5900"
"467";"7200";"6600";"5400"
"468";"7100";"7100";"5000"
"469";"7200";"7200";"4750"
"470";"7199";"6649";"5499"
"471";"7240";"7240";"6490"
"472";"7200";"7200";"5700"
"473";"7200";"7250";"6500"
"474";"7200";"7000";"6000"
"475";"7750";"7944";"7244"
"476";"7200";"6438";"6524"
"477";"7199";"7199";"5599"
"478";"7177";"7177";"4772"
"479";"7150";"7750";"6250"
"480";"7150";"7150";"5500"
"481";"7166";"7166";"5757"
"482";"7150";"7000";"6250"
"483";"7150";"7150";"6000"
"484";"7143";"6993";"6493"
"485";"7100";"6750";"6250"
"486";"7150";"7050";"5750"
"487";"7150";"6550";"5750"
"488";"7150";"7150";"6150"
"489";"7250";"7100";"6000"
"490";"7400";"7200";"6500"
"491";"7150";"6365";"5681"
"492";"7000";"7250";"7000"
"493";"7147";"7147";"5997"
"494";"7150";"7150";"4500"
"495";"7150";"7150";"6000"
"496";"7144";"6994";"5744"
"497";"7150";"7150";"4800"
"498";"7150";"7000";"5500"
"499";"7143";"7143";"4243"
"500";"7150";"6600";"6600"
"501";"7000";"7000";"5500"
"502";"7150";"7150";"5200"
"503";"7150";"6500";"5750"
"504";"7146";"6996";"5746"
"505";"7200";"6550";"5535"
"506";"7130";"7130";"5930"
"507";"7150";"6750";"6500"
"508";"7200";"7933";"6985"
"509";"7150";"6500";"5500"
"510";"7147";"6547";"4497"
"511";"7150";"7100";"6650"
"512";"7150";"7150";"6150"
"513";"7150";"6287";"6035"
"514";"7600";"7600";"6751"
"515";"7147";"7147";"4997"
"516";"7150";"6750";"6250"
"517";"7017";"7041";"4689"
"518";"7500";"7000";"6000"
"519";"7150";"7150";"6000"
"520";"7150";"7150";"6000"
"521";"7144";"7144";"6244"
"522";"7150";"7150";"6000"
"523";"7250";"7250";"6250"
"524";"7000";"7000";"6000"
"525";"7150";"6900";"6000"
"526";"6970";"7432";"6982"
"527";"7150";"7500";"5500"
"528";"7093";"7093";"5493"
"529";"7149";"7149";"6249"
"530";"7100";"1887";"7865"
"531";"7100";"7100";"6750"
"532";"7150";"7150";"6000"
"533";"7150";"7350";"6350"
"534";"7150";"7500";"6150"
"535";"7000";"7250";"5100"
"536";"7600";"7350";"6000"
"537";"7150";"7000";"6050"
"538";"7100";"7100";"6000"
"539";"7100";"6500";"5000"
"540";"7100";"7550";"6000"
"541";"7100";"6300";"6136"
"542";"7089";"6489";"5489"
"543";"7098";"7098";"5598"
"544";"7100";"7350";"5250"
"545";"7450";"6550";"6250"
"546";"7100";"7100";"5750"
"547";"7000";"6750";"5750"
"548";"7245";"7749";"6396"
"549";"7100";"6400";"5650"
"550";"7099";"7699";"6184"
"551";"7100";"7300";"6500"
"552";"7100";"5598";"5027"
"553";"6500";"6500";"5850"
"554";"7100";"6500";"5750"
"555";"7150";"7150";"5550"
"556";"7000";"6343";"5647"
"557";"7100";"6750";"5900"
"558";"7100";"6900";"6100"
"559";"7050";"6500";"5550"
"560";"7100";"7100";"6250"
"561";"7096";"7096";"5496"
"562";"7000";"7000";"5600"
"563";"7100";"7100";"6250"
"564";"7100";"7100";"6100"
"565";"7100";"7000";"5650"
"566";"7100";"7100";"5900"
"567";"7100";"7100";"6200"
"568";"7100";"7100";"6250"
"569";"7100";"6650";"5800"
"570";"7100";"6750";"5500"
"571";"6950";"6950";"5500"
"572";"7100";"6750";"6100"
"573";"7100";"7100";"5650"
"574";"7100";"7000";"5750"
"575";"7100";"7100";"5750"
"576";"6850";"6850";"4500"
"577";"7100";"7100";"5500"
"578";"7200";"7200";"6500"
"579";"7100";"7100";"4250"
"580";"7095";"7095";"5495"
"581";"7442";"7442";"5588"
"582";"7100";"7100";"5750"
"583";"6751";"6750";"3751"
"584";"7100";"6550";"5400"
"585";"7100";"8018";"6030"
"586";"7104";"7810";"6328"
"587";"7099";"7099";"6249"
"588";"7087";"7087";"5737"
"589";"7100";"7050";"6100"
"590";"7100";"6343";"5696"
"591";"7150";"7150";"5350"
"592";"7100";"7100";"6250"
"593";"7100";"6318";"5014"
"594";"7100";"6311";"5634"
"595";"6900";"6900";"5250"
"596";"7050";"7050";"5550"
"597";"7050";"6950";"5400"
"598";"7050";"7050";"6000"
"599";"7100";"7100";"4750"
"600";"7050";"7050";"5950"
"601";"7050";"6550";"5000"
"602";"7050";"7050";"5500"
"603";"6950";"6500";"5500"
"604";"7250";"6500";"6000"
"605";"7050";"7050";"6000"
"606";"7050";"7050";"5550"
"607";"7049";"7049";"5499"
"608";"7048";"6748";"5898"
"609";"7000";"7000";"5750"
"610";"7150";"7150";"6150"
"611";"6900";"6900";"6000"
"612";"7200";"7650";"6398"
"613";"7048";"7048";"5498"
"614";"7050";"6750";"6050"
"615";"7050";"7500";"6250"
"616";"7050";"7050";"5750"
"617";"7050";"7050";"6500"
"618";"7050";"7050";"5750"
"619";"7050";"7050";"5000"
"620";"7050";"7000";"6000"
"621";"7000";"6900";"6100"
"622";"7050";"7050";"5550"
"623";"7050";"7050";"5500"
"624";"7049";"7049";"5749"
"625";"7250";"7250";"6000"
"626";"7050";"6040";"6175"
"627";"7400";"7400";"4750"
"628";"7050";"7200";"6000"
"629";"7050";"7500";"5250"
"630";"7249";"6849";"6049"
"631";"7050";"6750";"5500"
"632";"7049";"6283";"5525"
"633";"7050";"7000";"6250"
"634";"7000";"7000";"5000"
"635";"7000";"7000";"6400"
"636";"7048";"7048";"5548"
"637";"6950";"6950";"6400"
"638";"7249";"6799";"6249"
"639";"7250";"7951";"5963"
"640";"7000";"7000";"5550"
"641";"7049";"6999";"6049"
"642";"7050";"7050";"6000"
"643";"6650";"6650";"4650"
"644";"7046";"7046";"5496"
"645";"7050";"7050";"4600"
"646";"7050";"6500";"5750"
"647";"7050";"6950";"5500"
"648";"7000";"7000";"4750"
"649";"7250";"7000";"6000"
"650";"7000";"7000";"6500"
"651";"7000";"6500";"5500"
"652";"6900";"6750";"5400"
"653";"6900";"6900";"4350"
"654";"6994";"6994";"5494"
"655";"6989";"6989";"4989"
"656";"7089";"7089";"5989"
"657";"7500";"7500";"6008"
"658";"6999";"6949";"5499"
"659";"6986";"6986";"4255"
"660";"7000";"7500";"5750"
"661";"7000";"7400";"6500"
"662";"7000";"6950";"6000"
"663";"6996";"7246";"5646"
"664";"7000";"7000";"5500"
"665";"7000";"7000";"5500"
"666";"6600";"6600";"5250"
"667";"7194";"7144";"5994"
"668";"7000";"7250";"6000"
"669";"7093";"7093";"5743"
"670";"7000";"6600";"5150"
"671";"7000";"7000";"5250"
"672";"5553";"6180";"3647"
"673";"7000";"6600";"3510"
"674";"6800";"7000";"5750"
"675";"6995";"6264";"5654"
"676";"6980";"6980";"4494"
"677";"7250";"6900";"6050"
"678";"7457";"7457";"4470"
"679";"6750";"6500";"5500"
"680";"6750";"6450";"5250"
"681";"7050";"6850";"5750"
"682";"7000";"7000";"4250"
"683";"7050";"5460";"5460"
"684";"7000";"7000";"5500"
"685";"7000";"6400";"5750"
"686";"7100";"7100";"7000"
"687";"7000";"6900";"6000"
"688";"6950";"6950";"5000"
"689";"6698";"6527";"5679"
"690";"7000";"7000";"4650"
"691";"7150";"7150";"6250"
"692";"7000";"7000";"6050"
"693";"7000";"7150";"5750"
"694";"7000";"7000";"6000"
"695";"7000";"7000";"6750"
"696";"7000";"6700";"5500"
"697";"6750";"6900";"6000"
"698";"6997";"6697";"5747"
"699";"7000";"7000";"4250"
"700";"8000";"7940";"6848"
"701";"7000";"6074";"5904"
"702";"7000";"7000";"6700"
"703";"6994";"6218";"5334"
"704";"7000";"6500";"5500"
"705";"6994";"7594";"6136"
"706";"6750";"6750";"5000"
"707";"7000";"7000";"6000"
"708";"6900";"6900";"5250"
"709";"7000";"6700";"5400"
"710";"7050";"7700";"6250"
"711";"6850";"6800";"6200"
"712";"6850";"6750";"5500"
"713";"7000";"7000";"5500"
"714";"7198";"6998";"6848"
"715";"7000";"7500";"6000"
"716";"6699";"6699";"5099"
"717";"7000";"8420";"6266"
"718";"7000";"7000";"5750"
"719";"6847";"7047";"5497"
"720";"7000";"7000";"5750"
"721";"7000";"7000";"5750"
"722";"7000";"7100";"5600"
"723";"7000";"6850";"6250"
"724";"6997";"7197";"5247"
"725";"7000";"7100";"5750"
"726";"7000";"6750";"5500"
"727";"7000";"6750";"5500"
"728";"6992";"6992";"5992"
"729";"7000";"7300";"6350"
"730";"6997";"7497";"6247"
"731";"7000";"7250";"5000"
"732";"6987";"6990";"6240"
"733";"6850";"6350";"5750"
"734";"7000";"6950";"6000"
"735";"7000";"6700";"5200"
"736";"7550";"7550";"5537"
"737";"6988";"6940";"6344"
"738";"6995";"6995";"5995"
"739";"7000";"6900";"5500"
"740";"7000";"6120";"7082"
"741";"6950";"7250";"6400"
"742";"6950";"6950";"6200"
"743";"7000";"7100";"6000"
"744";"6946";"6946";"5396"
"745";"6800";"7729";"6233"
"746";"6950";"7200";"5250"
"747";"6950";"6950";"5500"
"748";"6950";"6950";"5450"
"749";"6949";"6949";"4849"
"750";"6950";"6950";"5450"
"751";"7300";"6650";"5500"
"752";"6950";"6950";"5950"
"753";"6946";"7046";"6496"
"754";"6748";"6748";"4998"
"755";"6950";"5760";"6001"
"756";"6950";"6950";"4750"
"757";"6950";"6950";"5500"
"758";"6950";"7200";"6000"
"759";"6949";"7099";"5999"
"760";"6934";"7440";"5348"
"761";"6950";"6950";"6200"
"762";"7000";"6500";"5000"
"763";"6935";"7039";"5302"
"764";"6950";"7300";"6000"
"765";"6950";"6700";"5000"
"766";"6950";"7000";"6250"
"767";"6500";"6500";"4750"
"768";"6950";"6950";"4950"
"769";"7000";"7000";"6250"
"770";"7250";"7500";"5650"
"771";"6982";"6367";"5348"
"772";"6764";"7500";"5179"
"773";"6950";"7400";"6250"
"774";"6950";"6750";"5950"
"775";"6693";"6543";"3588"
"776";"6787";"6437";"5237"
"777";"6950";"7000";"6000"
"778";"6950";"6750";"5750"
"779";"6941";"6941";"5991"
"780";"6950";"6950";"5500"
"781";"6950";"6950";"5500"
"782";"6931";"6187";"5313"
"783";"6550";"7000";"5750"
"784";"6892";"6742";"5592"
"785";"6950";"6900";"5750"
"786";"6939";"6165";"6075"
"787";"6950";"6950";"5500"
"788";"7250";"7300";"6000"
"789";"7150";"7250";"5750"
"790";"6950";"6950";"5750"
"791";"6891";"6891";"5391"
"792";"6784";"6784";"3493"
"793";"6934";"6934";"5484"
"794";"6743";"7243";"5743"
"795";"6950";"6950";"5500"
"796";"6900";"6500";"5250"
"797";"6950";"6950";"5250"
"798";"7100";"7000";"7000"
"799";"6991";"6991";"4991"
"800";"6950";"5331";"5226"
"801";"7240";"7490";"5740"
"802";"6945";"6945";"4995"
"803";"6950";"6750";"5300"
"804";"6950";"6700";"5000"
"805";"6750";"6055";"5282"
"806";"6500";"6500";"6000"
"807";"7150";"7150";"6000"
"808";"6895";"6895";"5545"
"809";"7160";"7161";"6211"
"810";"6900";"6500";"5150"
"811";"6900";"6850";"5500"
"812";"6900";"6900";"5650"
"813";"6369";"6854";"3489"
"814";"6900";"6900";"4750"
"815";"6900";"6750";"5750"
"816";"7037";"7052";"5217"
"817";"6500";"6500";"6000"
"818";"6900";"6900";"5250"
"819";"6900";"6900";"5750"
"820";"6899";"7249";"5849"
"821";"6883";"6515";"5161"
"822";"6950";"6950";"4900"
"823";"6900";"5842";"6197"
"824";"6900";"6900";"5500"
"825";"6821";"6518";"5595"
"826";"6900";"6900";"5700"
"827";"6937";"6947";"5070"
"828";"6900";"6900";"4750"
"829";"6948";"6320";"5780"
"830";"6999";"7099";"5999"
"831";"6900";"6900";"5500"
"832";"6900";"6800";"5400"
"833";"7100";"7200";"6500"
"834";"6898";"6898";"5248"
"835";"6893";"6893";"5743"
"836";"6900";"6900";"4600"
"837";"6750";"6900";"5750"
"838";"6900";"6250";"4900"
"839";"6849";"6849";"4241"
"840";"6791";"6641";"4991"
"841";"6900";"6900";"5400"
"842";"6900";"6750";"5500"
"843";"6070";"6206";"4076"
"844";"6813";"6813";"4675"
"845";"6900";"6900";"4255"
"846";"6750";"6750";"4750"
"847";"6875";"6475";"4997"
"848";"6900";"6500";"5400"
"849";"6500";"6500";"4000"
"850";"6989";"6989";"5646"
"851";"7000";"7000";"6500"
"852";"6899";"6899";"5499"
"853";"6897";"6897";"4297"
"854";"6900";"5882";"5324"
"855";"6897";"6897";"5497"
"856";"6897";"6897";"5247"
"857";"6900";"6900";"5750"
"858";"6900";"6900";"5750"
"859";"6900";"6900";"5700"
"860";"6900";"6900";"6100"
"861";"6800";"7500";"5500"
"862";"6997";"6997";"5497"
"863";"6893";"6843";"5893"
"864";"6900";"6900";"6500"
"865";"6900";"6900";"4008"
"866";"6397";"6397";"4747"
"867";"6900";"6900";"5750"
"868";"6900";"6900";"6100"
