"Name(ocultar)";"Futbolista_ID";"Rendimiento en partidos importantes";"Lesiones";"Diversidad";"Adaptabilidad";"Ambición";"Razonamiento";"Lealtad";"Resistencia al estres";"Profesionalidad";"Deportividad";"Control emocional"
"Jorginho";"50";"15";"8";"6";"11";"15";"7";"12";"13";"17";"13";"12"
"Marquinhos";"51";"15";"8";"15";"15";"16";"7";"15";"14";"18";"15";"16"
"Phil Foden";"52";"16";"4";"13";"12";"15";"12";"13";"12";"14";"14";"16"
"Frenkie de Jong";"53";"13";"5";"17";"14";"15";"12";"14";"13";"16";"16";"17"
"Rafael Leão";"54";"12";"8";"12";"12";"16";"6";"11";"12";"13";"9";"12"
"Gabriel Jesus";"55";"14";"8";"12";"15";"13";"8";"12";"14";"14";"11";"11"
"Antoine Griezmann";"56";"11";"5";"14";"14";"18";"13";"12";"13";"14";"11";"9"
"Romelu Lukaku";"57";"12";"7";"6";"19";"18";"8";"9";"17";"17";"15";"12"
"Jules Koundé";"58";"14";"9";"15";"15";"15";"6";"13";"13";"16";"13";"12"
"Declan Rice";"59";"15";"6";"16";"12";"16";"5";"15";"14";"15";"16";"14"
"Kingsley Coman";"60";"16";"13";"16";"16";"18";"12";"14";"14";"13";"11";"12"
"Sergej Milinković-Savić";"61";"16";"5";"12";"15";"15";"4";"19";"14";"16";"12";"12"
"Ousmane Dembélé";"62";"13";"14";"14";"12";"14";"14";"9";"11";"9";"14";"12"
"Gianluigi Donnarumma";"63";"15";"4";"1";"9";"16";"5";"4";"15";"13";"15";"14"
"Casemiro";"64";"15";"5";"12";"13";"15";"14";"10";"15";"16";"10";"11"
"Mike Maignan";"65";"14";"6";"1";"15";"18";"5";"15";"15";"16";"12";"12"
"Milan Škriniar";"66";"14";"3";"11";"14";"16";"5";"16";"14";"19";"12";"11"
"Sergio Ramos";"67";"19";"13";"14";"10";"18";"14";"17";"18";"17";"6";"7"
"Lautaro Martínez";"68";"13";"6";"11";"16";"18";"4";"14";"13";"19";"11";"9"
"Christian Eriksen";"69";"17";"4";"13";"8";"16";"2";"15";"15";"18";"18";"19"
"Bukayo Saka";"70";"14";"9";"18";"7";"14";"7";"14";"16";"15";"13";"14"
"John Stones";"71";"14";"9";"10";"10";"18";"7";"15";"12";"15";"13";"16"
"Fabinho";"72";"16";"7";"15";"16";"16";"6";"13";"15";"16";"14";"14"
"Nicolò Barella";"73";"15";"9";"12";"12";"18";"4";"15";"17";"19";"11";"11"
"Achraf Hakimi";"74";"13";"4";"15";"15";"16";"10";"12";"14";"14";"11";"13"
"Raphaël Varane";"75";"15";"14";"14";"12";"16";"8";"13";"17";"14";"17";"16"
"Riyad Mahrez";"76";"15";"6";"10";"8";"15";"8";"12";"9";"12";"9";"14"
"Ángel Di María";"77";"16";"9";"16";"12";"18";"10";"13";"16";"18";"6";"12"
"Ciro Immobile";"78";"11";"3";"7";"6";"19";"8";"17";"12";"20";"14";"12"
"Kalidou Koulibaly";"79";"7";"9";"8";"12";"15";"7";"13";"8";"14";"14";"14"
"Trent Alexander-Arnold";"80";"14";"7";"14";"15";"16";"7";"19";"14";"17";"12";"14"
"Paul Pogba";"81";"13";"12";"10";"17";"19";"14";"10";"14";"15";"14";"13"
"Ronald Araujo";"82";"13";"12";"12";"15";"16";"9";"13";"12";"15";"12";"13"
"Serge Gnabry";"83";"14";"10";"16";"14";"18";"12";"14";"12";"14";"14";"13"
"Paulo Dybala";"84";"11";"16";"13";"14";"14";"12";"9";"9";"11";"13";"15"
"Éder Militão";"85";"13";"4";"12";"15";"12";"6";"12";"15";"14";"12";"12"
"Alphonso Davies";"86";"13";"7";"15";"18";"19";"4";"14";"13";"14";"12";"11"
"Martin Ødegaard";"87";"12";"7";"13";"13";"16";"6";"12";"14";"18";"13";"14"
"Marcelo Brozović";"88";"15";"7";"12";"15";"15";"18";"17";"17";"11";"12";"16"
"Pedri";"89";"13";"5";"15";"12";"14";"3";"14";"13";"15";"15";"17"
"Aurélien Tchouameni";"90";"13";"5";"11";"20";"15";"7";"13";"16";"15";"14";"13"
"João Félix";"91";"15";"9";"8";"15";"18";"13";"8";"17";"15";"10";"10"
"Theo Hernández";"92";"14";"6";"11";"17";"15";"14";"10";"15";"14";"6";"9"
"José Gayà";"93";"14";"8";"13";"12";"12";"6";"20";"15";"17";"14";"10"
"José Giménez";"94";"13";"15";"12";"15";"15";"6";"16";"14";"14";"7";"9"
"Presnel Kimpembe";"95";"16";"7";"10";"9";"17";"7";"14";"15";"15";"16";"14"
"Marco Reus";"96";"17";"19";"16";"9";"16";"9";"18";"17";"17";"10";"10"
"Andrew Robertson";"97";"15";"6";"6";"15";"16";"8";"16";"15";"15";"10";"13"
"Mikel Oyarzábal";"98";"14";"5";"17";"12";"14";"8";"20";"13";"18";"16";"13"
"Yves Bissouma";"99";"13";"7";"15";"15";"14";"4";"12";"13";"14";"13";"14"
"Matthijs de Ligt";"100";"14";"7";"12";"15";"15";"3";"14";"15";"19";"15";"12"
"Cristiano Ronaldo";"101";"16";"8";"9";"19";"20";"14";"13";"19";"20";"7";"7"
"Nicolás Otamendi";"102";"14";"3";"9";"16";"18";"12";"7";"19";"15";"14";"12"
"Memphis Depay";"103";"15";"3";"16";"15";"17";"12";"13";"15";"15";"13";"10"
"Keylor Navas";"104";"17";"9";"1";"14";"15";"3";"16";"15";"18";"16";"19"
"Christopher Nkunku";"105";"13";"4";"18";"8";"12";"8";"12";"10";"13";"14";"14"
"Ben Chilwell";"106";"10";"4";"10";"13";"17";"7";"13";"12";"15";"12";"15"
"Diogo Jota";"107";"14";"8";"12";"14";"16";"11";"12";"15";"15";"11";"12"
"Pepe";"108";"18";"14";"8";"16";"18";"6";"13";"17";"20";"3";"7"
"Victor Osimhen";"109";"14";"12";"10";"14";"16";"12";"10";"14";"14";"11";"10"
"Dušan Tadić";"110";"15";"2";"13";"14";"16";"5";"13";"16";"19";"9";"9"
"Joël Matip";"111";"14";"11";"5";"16";"13";"5";"17";"14";"15";"10";"15"
"Sergio Canales";"112";"15";"12";"13";"11";"13";"7";"14";"12";"17";"16";"14"
"Koke";"113";"13";"6";"18";"10";"15";"6";"17";"12";"16";"11";"12"
"Pau Torres";"114";"12";"7";"14";"17";"16";"4";"17";"10";"14";"14";"13"
"Sergio Busquets";"115";"14";"5";"13";"15";"14";"7";"18";"14";"14";"6";"9"
"Franck Kessié";"116";"15";"7";"11";"18";"17";"6";"12";"14";"13";"11";"8"
"Ferland Mendy";"117";"13";"7";"15";"12";"16";"9";"12";"12";"14";"10";"12"
"Gonçalo Guedes";"118";"10";"10";"11";"13";"13";"7";"15";"9";"13";"17";"13"
"Ángel Correa";"119";"12";"8";"11";"13";"14";"10";"15";"14";"14";"14";"11"
"Kurt Zouma";"120";"15";"9";"8";"8";"17";"5";"13";"14";"17";"15";"13"
"Sandro Tonali";"121";"13";"6";"10";"9";"16";"3";"14";"14";"15";"15";"17"
"Eden Hazard";"122";"15";"17";"10";"15";"10";"9";"14";"15";"12";"17";"14"
"Federico Chiesa";"123";"15";"11";"18";"13";"15";"11";"11";"17";"17";"8";"9"
"Oleksandr Zinchenko";"124";"14";"8";"18";"18";"15";"3";"13";"14";"13";"13";"13"
"Ivan Perišić";"125";"19";"6";"18";"15";"17";"13";"9";"18";"12";"8";"10"
"Manuel Akanji";"126";"14";"12";"7";"12";"16";"6";"11";"13";"17";"14";"12"
"Guido Rodríguez";"127";"10";"7";"12";"14";"13";"5";"10";"13";"15";"14";"12"
"Alejandro Gómez";"128";"14";"9";"15";"16";"16";"9";"11";"14";"18";"16";"15"
"Dani Parejo";"129";"14";"10";"10";"10";"12";"14";"12";"16";"16";"13";"13"
"Andreas Christensen";"130";"15";"4";"15";"16";"15";"5";"10";"14";"13";"16";"18"
"Lucas Hernández";"131";"15";"11";"14";"12";"17";"18";"12";"15";"12";"10";"8"
"Sebastián Coates";"132";"16";"10";"5";"13";"11";"5";"16";"14";"16";"14";"12"
"Rafa";"133";"15";"7";"10";"8";"7";"10";"14";"12";"14";"9";"14"
"Carlos Soler";"134";"14";"8";"15";"12";"14";"4";"18";"14";"16";"13";"12"
"Roberto Firmino";"135";"14";"8";"11";"16";"14";"6";"16";"15";"15";"13";"16"
"Marcos Llorente";"136";"13";"7";"19";"12";"15";"5";"16";"16";"18";"13";"12"
"Gerard Piqué";"137";"16";"8";"9";"16";"16";"16";"19";"18";"14";"10";"11"
"Jamal Musiala";"138";"17";"4";"16";"18";"19";"4";"14";"17";"17";"16";"18"
"Lorenzo Pellegrini";"139";"13";"12";"14";"9";"15";"8";"20";"16";"18";"13";"12"
"Naby Keïta";"140";"14";"14";"11";"14";"16";"12";"10";"13";"13";"10";"13"
"Fabián";"141";"12";"5";"14";"15";"15";"8";"12";"13";"15";"14";"11"
"Piotr Zieliński";"142";"11";"6";"15";"13";"13";"13";"14";"13";"15";"14";"12"
"Jadon Sancho";"143";"15";"6";"14";"12";"17";"14";"9";"14";"12";"13";"10"
"Raphinha";"144";"13";"6";"7";"14";"14";"7";"10";"15";"14";"10";"12"
"Jude Bellingham";"145";"14";"5";"14";"13";"15";"13";"16";"18";"18";"12";"6"
"Timo Werner";"146";"12";"3";"12";"8";"16";"8";"13";"10";"13";"8";"14"
"Unai Simón";"147";"9";"12";"14";"11";"14";"4";"9";"11";"10";"10";"18"
"Pablo Sarabia";"148";"15";"10";"15";"7";"12";"10";"10";"12";"14";"14";"10"
"Christian Pulisic";"149";"15";"14";"14";"15";"17";"6";"9";"13";"14";"16";"14"
"Rodrigo De Paul";"150";"14";"8";"14";"13";"16";"11";"14";"14";"15";"12";"12"
"Niklas Süle";"151";"16";"8";"12";"6";"12";"13";"9";"13";"9";"10";"12"
"Dayot Upamecano";"152";"14";"7";"10";"15";"17";"10";"10";"12";"10";"12";"10"
"Gerard Moreno";"153";"17";"12";"8";"15";"13";"5";"14";"12";"15";"15";"16"
"Ferran Torres";"154";"13";"4";"14";"11";"14";"7";"12";"14";"15";"14";"15"
"Iago Aspas";"155";"18";"5";"14";"8";"14";"15";"16";"13";"11";"8";"6"
"Jordan Henderson";"156";"17";"9";"13";"15";"18";"4";"18";"19";"20";"15";"19"
"Jordi Alba";"157";"14";"11";"12";"15";"18";"13";"14";"13";"14";"6";"7"
"Dejan Kulusevski";"158";"14";"6";"15";"16";"14";"8";"12";"15";"14";"13";"10"
"Nabil Fekir";"159";"16";"10";"13";"10";"15";"9";"13";"12";"14";"9";"10"
"Denzel Dumfries";"160";"11";"5";"13";"14";"15";"7";"13";"13";"17";"12";"12"
"Jesús Corona";"161";"15";"5";"12";"13";"13";"10";"12";"14";"13";"10";"8"
"Kim Min-Jae";"162";"15";"7";"8";"17";"15";"8";"10";"14";"13";"12";"10"
"Nathan Aké";"163";"13";"8";"15";"16";"14";"10";"12";"12";"15";"11";"8"
"Eric Dier";"164";"12";"6";"17";"17";"14";"5";"14";"13";"16";"14";"11"
"Álvaro Morata";"165";"13";"9";"11";"17";"13";"7";"16";"11";"14";"10";"9"
"Mehdi Taremi";"166";"14";"3";"12";"16";"12";"14";"15";"18";"15";"3";"11"
"Jamie Vardy";"167";"14";"13";"10";"8";"16";"14";"18";"15";"16";"10";"7"
"Cristian Romero";"168";"15";"8";"8";"16";"15";"4";"12";"14";"14";"9";"13"
"Philippe Coutinho";"169";"14";"14";"15";"14";"13";"9";"10";"11";"15";"14";"12"
"Iñaki Williams";"170";"14";"1";"13";"14";"14";"11";"14";"10";"13";"10";"8"
"Hakan Çalhanoğlu";"171";"11";"5";"16";"12";"16";"6";"7";"13";"14";"16";"14"
"James Maddison";"172";"13";"7";"8";"12";"16";"12";"13";"14";"15";"9";"13"
"Tammy Abraham";"173";"16";"6";"6";"16";"15";"14";"11";"15";"13";"15";"10"
"Pedro Gonçalves";"174";"12";"8";"10";"17";"12";"6";"13";"16";"15";"14";"13"
"Wojciech Szczęsny";"175";"14";"8";"2";"17";"13";"12";"12";"12";"16";"9";"14"
"Georginio Wijnaldum";"176";"15";"5";"15";"17";"15";"6";"13";"15";"17";"15";"17"
"Fikayo Tomori";"177";"14";"6";"8";"14";"16";"5";"10";"14";"16";"15";"12"
"Luis Alberto";"178";"15";"7";"14";"14";"17";"14";"12";"13";"12";"13";"11"
"Rúben Neves";"179";"13";"8";"11";"12";"14";"6";"16";"16";"19";"14";"12"
"Dušan Vlahović";"180";"14";"9";"9";"12";"17";"9";"10";"15";"16";"9";"13"
"Yann Sommer";"181";"18";"4";"16";"14";"15";"6";"15";"12";"17";"12";"14"
"Mikel Merino";"182";"15";"9";"15";"11";"17";"9";"12";"14";"15";"12";"10"
"Khvicha Kvaratskhelia";"183";"16";"6";"13";"19";"16";"4";"11";"17";"16";"13";"14"
"André-Franck Zambo Anguissa";"184";"16";"6";"10";"16";"16";"6";"13";"16";"16";"13";"14"
"Marc Cucurella";"185";"14";"8";"15";"11";"14";"5";"13";"14";"15";"13";"15"
"Nacho";"186";"16";"3";"20";"14";"10";"1";"20";"13";"18";"16";"16"
"Otávio";"187";"16";"5";"16";"12";"13";"17";"13";"15";"15";"2";"6"
"Chris Smalling";"188";"13";"14";"8";"16";"14";"6";"17";"14";"20";"16";"17"
"Alessandro Bastoni";"189";"14";"7";"10";"14";"17";"5";"14";"17";"17";"14";"11"
"Marco Asensio";"190";"10";"8";"14";"12";"8";"7";"10";"14";"12";"10";"12"
"Kieran Trippier";"191";"11";"7";"13";"13";"12";"4";"12";"13";"15";"14";"14"
"Juan Cuadrado";"192";"12";"10";"15";"15";"14";"6";"13";"16";"19";"8";"14"
"Benjamin Pavard";"193";"16";"7";"16";"13";"15";"8";"13";"15";"18";"14";"17"
"James Ward-Prowse";"194";"13";"6";"14";"11";"14";"4";"18";"12";"17";"14";"13"
"Dani Olmo";"195";"16";"5";"14";"13";"16";"2";"12";"15";"17";"13";"10"
"Giovanni Di Lorenzo";"196";"12";"6";"14";"14";"15";"7";"14";"14";"17";"13";"11"
"Cody Gakpo";"197";"14";"10";"7";"10";"10";"3";"13";"16";"15";"14";"18"
"Raúl Albiol";"198";"16";"12";"9";"16";"15";"6";"14";"13";"15";"12";"7"
"Samir Handanovič";"199";"17";"4";"15";"15";"19";"3";"20";"16";"20";"17";"19"
"Rodrygo";"200";"13";"9";"11";"12";"13";"5";"14";"13";"15";"15";"15"
"William Carvalho";"201";"14";"6";"6";"14";"10";"10";"8";"15";"19";"16";"15"
"João Palhinha";"202";"11";"5";"13";"16";"12";"5";"16";"14";"19";"15";"12"
"Steven Berghuis";"203";"7";"7";"13";"12";"15";"12";"9";"15";"14";"10";"7"
"Leandro Trossard";"204";"15";"8";"17";"12";"14";"6";"8";"12";"11";"12";"11"
"Patrik Schick";"205";"14";"9";"8";"14";"16";"12";"9";"12";"14";"12";"17"
"Dani Carvajal";"206";"12";"18";"13";"15";"15";"5";"19";"14";"19";"8";"9"
"Iker Muniain";"207";"14";"6";"14";"13";"13";"14";"14";"11";"11";"8";"8"
"Ismaël Bennacer";"208";"13";"12";"12";"17";"16";"6";"12";"14";"15";"14";"12"
"Dominic Calvert-Lewin";"209";"10";"3";"14";"12";"13";"5";"11";"12";"14";"15";"13"
"Ibrahima Konaté";"210";"15";"9";"7";"13";"16";"10";"10";"15";"13";"11";"15"
"Zlatan Ibrahimović";"211";"18";"15";"5";"20";"20";"20";"10";"20";"20";"5";"5"
"Lucas Ocampos";"212";"13";"5";"14";"11";"15";"6";"13";"14";"13";"7";"11"
"Youri Tielemans";"213";"12";"5";"15";"11";"17";"7";"13";"13";"14";"15";"15"
"Kostas Tsimikas";"214";"14";"8";"10";"15";"15";"6";"14";"14";"16";"13";"15"
"Kalvin Phillips";"215";"13";"10";"13";"16";"13";"1";"17";"15";"16";"11";"18"
"Joe Gomez";"216";"14";"12";"13";"14";"14";"6";"14";"13";"15";"11";"14"
"Wissam Ben Yedder";"217";"16";"7";"12";"14";"16";"8";"13";"14";"15";"16";"15"
"Arkadiusz Milik";"218";"13";"14";"11";"11";"16";"9";"9";"13";"10";"12";"15"
"Leonardo Bonucci";"219";"14";"5";"8";"14";"14";"9";"10";"15";"18";"11";"9"
"Marcus Rashford";"220";"18";"6";"10";"16";"16";"4";"16";"15";"17";"12";"18"
"Kieran Tierney";"221";"14";"14";"12";"12";"15";"7";"18";"15";"17";"13";"13"
"David Silva";"222";"14";"13";"13";"13";"16";"7";"13";"15";"13";"15";"17"
"David Neres";"223";"12";"8";"14";"14";"14";"5";"14";"14";"13";"12";"12"
"Stefan de Vrij";"224";"13";"9";"9";"16";"16";"2";"12";"14";"16";"14";"16"
"Duván Zapata";"225";"14";"10";"5";"14";"15";"5";"13";"12";"19";"18";"13"
"Wesley Fofana";"226";"15";"8";"8";"14";"16";"13";"8";"12";"11";"12";"12"
"Arnaut Danjuma";"227";"14";"14";"16";"7";"18";"16";"5";"13";"10";"11";"12"
"Steven Bergwijn";"228";"13";"5";"13";"13";"14";"4";"5";"14";"14";"13";"12"
"Bremer";"229";"13";"8";"9";"14";"16";"7";"13";"14";"16";"12";"13"
"Alexander Isak";"230";"15";"5";"8";"13";"15";"5";"10";"13";"12";"14";"14"
"Mats Hummels";"231";"17";"15";"7";"6";"13";"10";"16";"14";"17";"18";"16"
"Stefan Savić";"232";"13";"13";"13";"14";"14";"7";"14";"15";"14";"12";"11"
"Olivier Giroud";"233";"17";"10";"3";"15";"19";"8";"14";"14";"20";"14";"14"
"Borja Iglesias";"234";"13";"6";"10";"11";"12";"6";"12";"14";"16";"18";"14"
"Diogo Costa";"235";"14";"9";"15";"12";"13";"6";"14";"18";"17";"15";"16"
"Moussa Diaby";"236";"13";"5";"10";"11";"15";"4";"13";"11";"15";"13";"7"
"Edin Džeko";"237";"14";"4";"5";"10";"17";"8";"13";"13";"20";"13";"10"
"Mateus Uribe";"238";"15";"4";"15";"14";"13";"5";"12";"14";"11";"11";"12"
"Diego Carlos";"239";"13";"6";"8";"13";"15";"11";"11";"12";"16";"12";"10"
"Idrissa Gueye";"240";"14";"9";"8";"14";"16";"6";"10";"13";"15";"15";"15"
"Ricardo Horta";"241";"14";"7";"12";"10";"14";"6";"16";"15";"15";"11";"14"
"Álex Remiro";"242";"12";"4";"16";"11";"11";"5";"14";"10";"16";"14";"14"
"Edson Álvarez";"243";"13";"4";"14";"13";"13";"10";"12";"12";"14";"10";"11"
"James Rodríguez";"244";"16";"15";"15";"14";"15";"16";"6";"15";"12";"9";"11"
"Thomas Partey";"245";"13";"13";"16";"14";"14";"9";"13";"11";"14";"12";"12"
"Marko Arnautović";"246";"13";"8";"11";"14";"18";"14";"11";"12";"18";"10";"8"
"Nicolò Zaniolo";"247";"14";"12";"15";"7";"17";"15";"8";"19";"11";"7";"6"
"Wilfried Zaha";"248";"16";"7";"15";"12";"18";"11";"10";"15";"9";"9";"7"
"Marcos Acuña";"249";"15";"13";"13";"14";"15";"15";"8";"15";"12";"7";"7"
"Yassine Bounou";"250";"16";"13";"13";"11";"12";"4";"14";"11";"16";"15";"17"
"Jarrod Bowen";"251";"15";"4";"12";"15";"16";"3";"13";"15";"17";"12";"18"
"Aaron Ramsdale";"252";"15";"4";"15";"17";"16";"5";"13";"17";"16";"12";"14"
"Gabriel Paulista";"253";"12";"7";"14";"14";"15";"10";"10";"13";"15";"9";"10"
"Héctor Herrera";"254";"15";"8";"14";"14";"14";"6";"12";"16";"15";"12";"12"
"Tomáš Souček";"255";"14";"10";"18";"11";"13";"8";"15";"14";"16";"17";"9"
"Enzo Fernández";"256";"13";"4";"9";"18";"13";"5";"10";"17";"15";"13";"12"
"Pedro Porro";"257";"14";"6";"15";"16";"15";"13";"11";"14";"13";"7";"11"
"Bruno Guimarães";"258";"13";"7";"17";"19";"13";"6";"12";"14";"14";"9";"11"
"Hakim Ziyech";"259";"14";"6";"15";"14";"14";"12";"14";"14";"15";"15";"12"
"Allan Saint-Maximin";"260";"12";"12";"15";"7";"15";"7";"12";"10";"13";"14";"15"
"Darwin Núñez";"261";"11";"9";"10";"12";"16";"3";"10";"12";"14";"12";"11"
"Raúl Jiménez";"262";"11";"9";"12";"10";"10";"6";"14";"13";"17";"14";"15"
"Mauro Icardi";"263";"17";"9";"7";"14";"17";"14";"14";"17";"8";"12";"8"
"Stanislav Lobotka";"264";"11";"12";"11";"13";"14";"3";"15";"13";"15";"16";"16"
"Danilo";"265";"12";"12";"18";"14";"12";"6";"13";"13";"18";"13";"16"
"Danilo Pereira";"266";"13";"6";"11";"14";"15";"9";"14";"14";"18";"17";"18"
"Matheus Nunes";"267";"17";"3";"14";"14";"16";"5";"13";"17";"18";"13";"15"
"Neto";"268";"14";"6";"13";"14";"14";"8";"11";"16";"14";"13";"13"
"Vitinha";"269";"13";"5";"10";"15";"14";"5";"16";"16";"16";"14";"14"
"André Onana";"270";"15";"7";"14";"14";"16";"5";"12";"15";"12";"14";"10"
"Angeliño";"271";"13";"4";"11";"14";"16";"7";"11";"10";"15";"11";"14"
"Pierre Kalulu";"272";"13";"5";"17";"16";"16";"7";"12";"13";"14";"15";"17"
"Konrad Laimer";"273";"14";"4";"17";"13";"16";"8";"12";"13";"14";"16";"9"
"Raphaël Guerreiro";"274";"15";"15";"17";"12";"10";"8";"11";"15";"13";"16";"16"
"Thomas Lemar";"275";"15";"12";"16";"19";"15";"3";"16";"15";"16";"18";"16"
"Geoffrey Kondogbia";"276";"12";"9";"12";"11";"15";"9";"13";"13";"15";"14";"14"
"Robin Le Normand";"277";"12";"8";"18";"7";"8";"5";"12";"9";"16";"14";"12"
"Ansu Fati";"278";"15";"14";"15";"15";"14";"5";"15";"15";"14";"13";"15"
"Amir Rrahmani";"279";"13";"8";"12";"12";"14";"6";"13";"12";"15";"10";"12"
"Felipe Anderson";"280";"13";"7";"17";"15";"16";"8";"16";"10";"17";"16";"14"
"Javi Galán";"281";"16";"3";"15";"12";"13";"3";"15";"15";"18";"15";"11"
"Rodrigo Bentancur";"282";"11";"7";"16";"16";"12";"5";"15";"17";"18";"15";"11"
"Nuno Mendes";"283";"15";"11";"14";"16";"15";"6";"15";"17";"14";"14";"15"
"Alex Oxlade-Chamberlain";"284";"13";"14";"15";"16";"14";"9";"14";"12";"16";"14";"14"
"Jurriën Timber";"285";"12";"7";"11";"14";"12";"2";"11";"15";"12";"14";"8"
"Davide Calabria";"286";"13";"12";"16";"13";"15";"4";"17";"14";"15";"14";"14"
"Teun Koopmeiners";"287";"12";"3";"13";"18";"16";"8";"12";"11";"18";"16";"10"
"Lorenzo Insigne";"288";"11";"9";"13";"10";"12";"5";"16";"11";"14";"12";"12"
"Henrikh Mkhitaryan";"289";"12";"11";"17";"17";"16";"10";"6";"11";"19";"13";"14"
"Wilfred Ndidi";"290";"13";"10";"12";"14";"16";"5";"14";"14";"14";"12";"14"
"Manuel Locatelli";"291";"14";"11";"13";"13";"17";"4";"13";"13";"16";"20";"17"
"João Moutinho";"292";"16";"8";"14";"13";"17";"7";"15";"16";"17";"14";"16"
"Leandro Paredes";"293";"13";"10";"10";"15";"8";"5";"10";"15";"13";"10";"9"
