"Futbolista_ID";"Altura(cm)";"Peso(kg)";"Pierna Izquierda";"Pierna derecha";"Raza"
"140";"172";"64";"9";"20";"African_Caribbean"
"141";"189";"73";"20";"9";"Northern_European"
"142";"180";"69";"17";"20";"Northern_European"
"143";"180";"76";"9";"20";"Mixed_Race"
"144";"176";"68";"20";"9";"Mixed_Race"
"145";"186";"75";"11";"20";"African_Caribbean"
"146";"180";"75";"13";"20";"Northern_European"
"147";"190";"89";"10";"20";"Mediterranean_Hispanic"
"148";"174";"70";"20";"10";"Mediterranean_Hispanic"
"149";"173";"73";"12";"20";"Northern_European"
"150";"180";"70";"12";"20";"Mediterranean_Hispanic"
"151";"195";"99";"12";"20";"Northern_European"
"152";"186";"90";"12";"20";"African_Caribbean"
"153";"180";"77";"20";"13";"Mediterranean_Hispanic"
"154";"184";"77";"11";"20";"Mediterranean_Hispanic"
"155";"176";"67";"20";"14";"Mediterranean_Hispanic"
"156";"183";"80";"8";"20";"Northern_European"
"157";"170";"68";"20";"9";"Mediterranean_Hispanic"
"158";"186";"79";"20";"14";"Northern_European"
"159";"173";"72";"20";"6";"North_African__Middle_Eastern"
"160";"189";"80";"9";"20";"African_Caribbean"
"161";"173";"66";"15";"20";"Mediterranean_Hispanic"
"162";"190";"88";"9";"20";"Asian"
"163";"180";"75";"20";"10";"African_Caribbean"
"164";"188";"90";"17";"20";"Northern_European"
"165";"189";"84";"12";"20";"Mediterranean_Hispanic"
"166";"187";"82";"13";"20";"North_African__Middle_Eastern"
"167";"179";"72";"10";"20";"Northern_European"
"168";"185";"79";"9";"20";"Mediterranean_Hispanic"
"169";"172";"71";"15";"20";"Mediterranean_Hispanic"
"170";"186";"80";"10";"20";"African_Caribbean"
"171";"178";"69";"12";"20";"North_African__Middle_Eastern"
"172";"175";"73";"13";"20";"Northern_European"
"173";"196";"87";"12";"20";"African_Caribbean"
"174";"174";"67";"12";"20";"Mediterranean_Hispanic"
"175";"195";"90";"9";"20";"Northern_European"
"176";"175";"74";"9";"20";"African_Caribbean"
"177";"185";"79";"12";"20";"African_Caribbean"
"178";"183";"74";"11";"20";"Mediterranean_Hispanic"
"179";"180";"80";"13";"20";"Mediterranean_Hispanic"
"180";"191";"81";"20";"9";"Northern_European"
"181";"183";"79";"8";"20";"Northern_European"
"182";"187";"79";"20";"10";"Mediterranean_Hispanic"
"183";"183";"70";"15";"20";"Northern_European"
"184";"184";"78";"9";"20";"African_Caribbean"
"185";"172";"68";"20";"8";"Mediterranean_Hispanic"
"186";"180";"77";"13";"20";"Mediterranean_Hispanic"
"187";"172";"65";"11";"20";"Mediterranean_Hispanic"
"188";"194";"90";"7";"20";"African_Caribbean"
"189";"190";"75";"20";"9";"Mediterranean_Hispanic"
"190";"182";"76";"20";"9";"Mediterranean_Hispanic"
"191";"178";"72";"8";"20";"Northern_European"
"192";"179";"72";"9";"20";"African_Caribbean"
"193";"186";"76";"8";"20";"Northern_European"
"194";"173";"66";"10";"20";"Northern_European"
"195";"179";"72";"11";"20";"Northern_European"
"196";"183";"83";"9";"20";"Mediterranean_Hispanic"
"197";"189";"76";"11";"20";"African_Caribbean"
"198";"190";"82";"10";"20";"Mediterranean_Hispanic"
"199";"193";"89";"6";"20";"Northern_European"
"200";"174";"64";"10";"20";"African_Caribbean"
"201";"187";"83";"13";"20";"African_Caribbean"
"202";"190";"84";"12";"20";"Northern_European"
"203";"182";"70";"20";"8";"Northern_European"
"204";"172";"67";"15";"20";"Northern_European"
"205";"191";"86";"20";"12";"Northern_European"
"206";"173";"74";"10";"20";"Mediterranean_Hispanic"
"207";"170";"66";"12";"20";"Mediterranean_Hispanic"
"208";"175";"70";"20";"9";"North_African__Middle_Eastern"
"209";"187";"71";"8";"20";"Mixed_Race"
"210";"194";"95";"10";"20";"African_Caribbean"
"211";"195";"95";"15";"20";"Northern_European"
"212";"187";"84";"12";"20";"Mediterranean_Hispanic"
"213";"176";"72";"14";"20";"Mixed_Race"
"214";"175";"67";"20";"6";"Mediterranean_Hispanic"
"215";"178";"72";"11";"20";"Northern_European"
"216";"188";"87";"8";"20";"Mixed_Race"
"217";"170";"68";"14";"20";"North_African__Middle_Eastern"
"218";"186";"80";"20";"10";"Northern_European"
"219";"190";"85";"9";"20";"Mediterranean_Hispanic"
"220";"185";"70";"8";"20";"African_Caribbean"
"221";"178";"76";"20";"9";"Northern_European"
"222";"173";"67";"20";"12";"Mediterranean_Hispanic"
"223";"176";"74";"20";"11";"Mixed_Race"
"224";"189";"78";"10";"20";"Northern_European"
"225";"189";"88";"10";"20";"African_Caribbean"
"226";"190";"76";"10";"20";"African_Caribbean"
"227";"178";"74";"8";"20";"African_Caribbean"
"228";"178";"78";"14";"20";"African_Caribbean"
"229";"188";"80";"9";"20";"African_Caribbean"
"230";"190";"74";"10";"20";"African_Caribbean"
"231";"191";"94";"14";"20";"Northern_European"
"232";"187";"80";"10";"20";"Mediterranean_Hispanic"
"233";"192";"93";"20";"9";"Mediterranean_Hispanic"
"234";"187";"86";"11";"20";"Mediterranean_Hispanic"
"235";"186";"80";"13";"20";"Mediterranean_Hispanic"
"236";"171";"67";"20";"10";"African_Caribbean"
"237";"193";"94";"18";"20";"Northern_European"
"238";"182";"77";"10";"20";"Mediterranean_Hispanic"
"239";"185";"79";"9";"20";"Mixed_Race"
"240";"174";"66";"9";"20";"African_Caribbean"
"241";"173";"63";"11";"20";"Mediterranean_Hispanic"
"242";"192";"80";"10";"20";"Mediterranean_Hispanic"
"243";"185";"73";"10";"20";"Mediterranean_Hispanic"
"244";"180";"75";"20";"7";"Mediterranean_Hispanic"
"245";"185";"80";"11";"20";"African_Caribbean"
"246";"192";"83";"15";"20";"Northern_European"
"247";"189";"79";"20";"9";"Mediterranean_Hispanic"
"248";"181";"74";"11";"20";"African_Caribbean"
"249";"172";"72";"20";"9";"Mediterranean_Hispanic"
"250";"191";"80";"20";"11";"North_African__Middle_Eastern"
"251";"174";"70";"20";"11";"Northern_European"
"252";"191";"85";"8";"20";"Northern_European"
"253";"187";"72";"10";"20";"Mixed_Race"
"254";"178";"72";"12";"20";"Mediterranean_Hispanic"
"255";"192";"86";"10";"20";"Northern_European"
"256";"178";"70";"13";"20";"Mediterranean_Hispanic"
"257";"176";"71";"8";"20";"Mediterranean_Hispanic"
"258";"182";"74";"8";"20";"Mediterranean_Hispanic"
"259";"181";"68";"20";"13";"North_African__Middle_Eastern"
"260";"173";"67";"8";"20";"African_Caribbean"
"261";"187";"82";"13";"20";"Mediterranean_Hispanic"
"262";"190";"76";"13";"20";"Mediterranean_Hispanic"
"263";"181";"75";"10";"20";"Mediterranean_Hispanic"
"264";"172";"64";"13";"20";"Northern_European"
"265";"184";"78";"14";"20";"Mediterranean_Hispanic"
"266";"188";"83";"12";"20";"African_Caribbean"
"267";"184";"78";"12";"20";"Mediterranean_Hispanic"
"268";"190";"84";"7";"20";"Northern_European"
"269";"172";"66";"10";"20";"Mediterranean_Hispanic"
"270";"192";"93";"6";"20";"African_Caribbean"
"271";"175";"69";"20";"8";"Mediterranean_Hispanic"
"272";"184";"79";"10";"20";"African_Caribbean"
"273";"180";"72";"12";"20";"Northern_European"
"274";"170";"71";"20";"8";"Mediterranean_Hispanic"
"275";"170";"58";"20";"8";"Mixed_Race"
"276";"188";"80";"20";"7";"African_Caribbean"
"277";"187";"80";"5";"20";"Northern_European"
"278";"178";"66";"12";"20";"African_Caribbean"
"279";"192";"83";"13";"20";"Northern_European"
"280";"175";"70";"14";"20";"Mediterranean_Hispanic"
"281";"172";"0";"20";"7";"Mediterranean_Hispanic"
"282";"187";"77";"12";"20";"Mediterranean_Hispanic"
"283";"176";"70";"20";"12";"African_Caribbean"
"284";"176";"72";"9";"20";"Mixed_Race"
"285";"179";"79";"10";"20";"African_Caribbean"
"286";"177";"70";"12";"20";"Mediterranean_Hispanic"
"287";"184";"77";"20";"12";"Northern_European"
"288";"163";"59";"12";"20";"Mediterranean_Hispanic"
"289";"177";"75";"15";"20";"North_African__Middle_Eastern"
"290";"183";"74";"8";"20";"African_Caribbean"
"291";"186";"75";"10";"20";"Mediterranean_Hispanic"
"292";"170";"61";"10";"20";"Mediterranean_Hispanic"
"293";"180";"75";"10";"20";"Mediterranean_Hispanic"
"294";"193";"85";"10";"20";"Mediterranean_Hispanic"
"295";"179";"73";"13";"20";"Mixed_Race"
"296";"167";"66";"17";"20";"Mediterranean_Hispanic"
"297";"188";"77";"11";"20";"Mixed_Race"
"298";"175";"70";"11";"20";"Native_American"
"299";"173";"68";"12";"20";"Mediterranean_Hispanic"
"300";"191";"86";"13";"20";"African_Caribbean"
"301";"178";"76";"12";"20";"Northern_European"
"302";"195";"92";"9";"20";"Mediterranean_Hispanic"
"303";"190";"86";"9";"20";"Northern_European"
"304";"181";"80";"20";"9";"Mediterranean_Hispanic"
"305";"187";"85";"20";"6";"Mediterranean_Hispanic"
"306";"179";"79";"12";"20";"Mixed_Race"
"307";"189";"73";"20";"15";"African_Caribbean"
"308";"171";"65";"20";"10";"Mediterranean_Hispanic"
"309";"188";"77";"16";"20";"Northern_European"
"310";"188";"78";"13";"20";"Asian"
"311";"194";"84";"8";"20";"African_Caribbean"
"312";"184";"84";"20";"7";"Mediterranean_Hispanic"
"313";"178";"76";"15";"20";"Mediterranean_Hispanic"
"314";"185";"84";"9";"20";"Northern_European"
"315";"187";"76";"20";"9";"Mediterranean_Hispanic"
"316";"176";"73";"12";"20";"Northern_European"
"317";"178";"66";"12";"20";"Mediterranean_Hispanic"
"318";"178";"79";"13";"20";"African_Caribbean"
"319";"177";"69";"10";"20";"African_Caribbean"
"320";"180";"72";"10";"20";"Mediterranean_Hispanic"
"321";"184";"71";"10";"20";"Mediterranean_Hispanic"
"322";"181";"71";"12";"20";"Mediterranean_Hispanic"
"323";"185";"84";"13";"20";"Mediterranean_Hispanic"
"324";"173";"63";"20";"10";"Mediterranean_Hispanic"
"325";"191";"87";"8";"20";"Northern_European"
"326";"190";"78";"20";"10";"African_Caribbean"
"327";"181";"71";"12";"20";"Mediterranean_Hispanic"
"328";"175";"69";"9";"20";"Mediterranean_Hispanic"
"329";"189";"91";"10";"20";"Mediterranean_Hispanic"
"330";"190";"80";"20";"7";"Mediterranean_Hispanic"
"331";"186";"85";"11";"20";"Mediterranean_Hispanic"
"332";"192";"88";"20";"9";"Mediterranean_Hispanic"
"333";"182";"76";"12";"20";"Northern_European"
"334";"187";"80";"10";"20";"Mixed_Race"
"335";"180";"72";"20";"9";"Mixed_Race"
"336";"183";"72";"20";"9";"Northern_European"
"337";"185";"78";"10";"20";"Northern_European"
"338";"182";"68";"20";"10";"African_Caribbean"
"339";"177";"63";"14";"20";"Mediterranean_Hispanic"
"340";"186";"75";"14";"20";"Mediterranean_Hispanic"
"341";"184";"73";"10";"20";"Northern_European"
"342";"177";"73";"15";"20";"Northern_European"
"343";"184";"78";"14";"20";"Northern_European"
"344";"185";"76";"9";"20";"Northern_European"
"345";"191";"78";"11";"20";"Northern_European"
"346";"188";"82";"20";"5";"Northern_European"
"347";"190";"84";"20";"6";"Northern_European"
"348";"180";"72";"20";"8";"Northern_European"
"349";"170";"67";"20";"7";"Mediterranean_Hispanic"
"350";"181";"75";"20";"8";"Northern_European"
"351";"188";"82";"17";"20";"Northern_European"
"352";"173";"71";"12";"20";"Mediterranean_Hispanic"
"353";"188";"71";"20";"8";"Northern_European"
"354";"180";"75";"20";"8";"Native_American"
"355";"178";"74";"20";"5";"Northern_European"
"356";"185";"78";"14";"20";"Northern_European"
"357";"176";"75";"10";"20";"Northern_European"
"358";"179";"67";"10";"20";"African_Caribbean"
"359";"175";"70";"8";"20";"Mediterranean_Hispanic"
"360";"182";"86";"13";"20";"Mediterranean_Hispanic"
"361";"184";"84";"13";"20";"Mediterranean_Hispanic"
"362";"178";"72";"10";"20";"African_Caribbean"
"363";"185";"75";"9";"20";"Mediterranean_Hispanic"
"364";"187";"80";"11";"20";"Mediterranean_Hispanic"
"365";"191";"81";"8";"20";"African_Caribbean"
"366";"168";"64";"9";"20";"Native_American"
"367";"170";"70";"13";"20";"Mediterranean_Hispanic"
"368";"189";"80";"8";"20";"African_Caribbean"
"369";"189";"82";"9";"20";"Mediterranean_Hispanic"
"370";"185";"83";"14";"20";"Northern_European"
"371";"187";"77";"20";"9";"Northern_European"
"372";"183";"73";"20";"8";"African_Caribbean"
"373";"184";"74";"12";"20";"Mediterranean_Hispanic"
"374";"183";"80";"14";"20";"Mediterranean_Hispanic"
"375";"171";"64";"20";"7";"Mediterranean_Hispanic"
"376";"172";"60";"12";"20";"Mixed_Race"
"377";"186";"86";"12";"20";"North_African__Middle_Eastern"
"378";"181";"74";"12";"20";"Mediterranean_Hispanic"
"379";"185";"84";"12";"20";"Mixed_Race"
"380";"180";"69";"12";"20";"Northern_European"
"381";"181";"79";"20";"12";"Northern_European"
"382";"172";"69";"15";"20";"Mediterranean_Hispanic"
"383";"187";"76";"14";"20";"Mixed_Race"
"384";"185";"78";"10";"20";"Mediterranean_Hispanic"
"385";"179";"95";"20";"10";"Mixed_Race"
"386";"179";"71";"10";"20";"Northern_European"
"387";"179";"85";"20";"11";"Northern_European"
"388";"194";"100";"10";"20";"Northern_European"
"389";"192";"80";"20";"9";"Northern_European"
"390";"191";"91";"8";"20";"Native_American"
"391";"192";"76";"9";"20";"Mediterranean_Hispanic"
"392";"174";"64";"12";"20";"African_Caribbean"
"393";"182";"79";"20";"8";"Northern_European"
"394";"174";"76";"20";"13";"Northern_European"
"395";"192";"83";"10";"20";"African_Caribbean"
"396";"178";"70";"13";"20";"Mediterranean_Hispanic"
"397";"184";"76";"20";"9";"Northern_European"
"398";"171";"59";"16";"20";"Mediterranean_Hispanic"
"399";"185";"80";"10";"20";"Northern_European"
"400";"183";"65";"8";"20";"North_African__Middle_Eastern"
"401";"185";"85";"14";"20";"Northern_European"
"402";"178";"72";"12";"20";"Northern_European"
"403";"187";"69";"11";"20";"Northern_European"
"404";"175";"71";"20";"10";"Mixed_Race"
"405";"182";"72";"10";"20";"Mediterranean_Hispanic"
"406";"170";"60";"11";"20";"Mediterranean_Hispanic"
"407";"182";"71";"10";"20";"Mediterranean_Hispanic"
"408";"179";"72";"10";"20";"Mediterranean_Hispanic"
"409";"188";"75";"13";"20";"Mediterranean_Hispanic"
"410";"188";"78";"20";"11";"Mediterranean_Hispanic"
"411";"176";"70";"20";"10";"Mediterranean_Hispanic"
"412";"195";"88";"7";"20";"Northern_European"
"413";"185";"80";"10";"20";"African_Caribbean"
"414";"176";"71";"10";"20";"Mediterranean_Hispanic"
"415";"188";"82";"12";"20";"Mediterranean_Hispanic"
"416";"181";"76";"12";"20";"African_Caribbean"
"417";"191";"78";"8";"20";"Mediterranean_Hispanic"
"418";"184";"76";"20";"10";"Mediterranean_Hispanic"
"419";"191";"93";"7";"20";"Mediterranean_Hispanic"
"420";"192";"85";"7";"20";"Mediterranean_Hispanic"
"421";"174";"65";"11";"20";"Mediterranean_Hispanic"
"422";"173";"67";"11";"20";"Mediterranean_Hispanic"
"423";"176";"69";"20";"8";"Mediterranean_Hispanic"
"424";"178";"68";"11";"20";"Mediterranean_Hispanic"
"425";"183";"79";"18";"20";"Northern_European"
"426";"180";"72";"14";"20";"Mediterranean_Hispanic"
"427";"181";"77";"12";"20";"Mediterranean_Hispanic"
"428";"177";"76";"12";"20";"Northern_European"
"429";"177";"75";"10";"20";"Northern_European"
"430";"188";"87";"20";"10";"Mediterranean_Hispanic"
"431";"176";"76";"10";"20";"African_Caribbean"
"432";"180";"72";"12";"20";"Mediterranean_Hispanic"
"433";"175";"75";"20";"8";"Northern_European"
"434";"182";"77";"20";"10";"Mediterranean_Hispanic"
"435";"172";"69";"15";"20";"Northern_European"
"436";"181";"83";"8";"20";"Mediterranean_Hispanic"
"437";"183";"76";"8";"20";"African_Caribbean"
"438";"175";"74";"8";"20";"Mixed_Race"
"439";"171";"69";"10";"20";"Native_American"
"440";"191";"82";"20";"7";"African_Caribbean"
"441";"172";"67";"20";"8";"Mediterranean_Hispanic"
"442";"175";"73";"12";"20";"Mediterranean_Hispanic"
"443";"176";"0";"20";"10";"Northern_European"
"444";"178";"74";"10";"20";"African_Caribbean"
"445";"186";"90";"10";"20";"Mediterranean_Hispanic"
"446";"182";"74";"12";"20";"Northern_European"
"447";"186";"81";"20";"8";"Northern_European"
"448";"178";"66";"13";"20";"Northern_European"
"449";"189";"88";"7";"20";"Northern_European"
"450";"192";"83";"13";"20";"African_Caribbean"
"451";"174";"71";"12";"20";"Native_American"
"452";"179";"70";"20";"10";"Mediterranean_Hispanic"
"453";"185";"78";"20";"7";"Mediterranean_Hispanic"
"454";"173";"70";"20";"9";"Mixed_Race"
"455";"192";"84";"8";"20";"Mediterranean_Hispanic"
"456";"190";"82";"11";"20";"Mediterranean_Hispanic"
"457";"180";"68";"20";"6";"African_Caribbean"
"458";"180";"80";"11";"20";"Northern_European"
"459";"189";"84";"14";"20";"Northern_European"
"460";"180";"66";"10";"20";"African_Caribbean"
"461";"175";"71";"14";"20";"Northern_European"
"462";"169";"64";"20";"12";"African_Caribbean"
"463";"173";"73";"8";"20";"Mediterranean_Hispanic"
"464";"177";"67";"20";"8";"Mediterranean_Hispanic"
"465";"177";"74";"12";"20";"Asian"
"466";"182";"76";"20";"8";"Northern_European"
"467";"177";"73";"10";"20";"Mediterranean_Hispanic"
"468";"187";"77";"10";"20";"Northern_European"
"469";"184";"73";"20";"8";"Mediterranean_Hispanic"
"470";"174";"71";"8";"20";"Mediterranean_Hispanic"
"471";"182";"79";"12";"20";"Mediterranean_Hispanic"
"472";"186";"75";"12";"20";"Mediterranean_Hispanic"
"473";"188";"87";"20";"9";"Mediterranean_Hispanic"
"474";"185";"76";"8";"20";"African_Caribbean"
"475";"186";"81";"12";"20";"Mixed_Race"
"476";"189";"75";"13";"20";"African_Caribbean"
"477";"178";"67";"12";"20";"Mediterranean_Hispanic"
"478";"167";"63";"10";"20";"Mixed_Race"
"479";"172";"67";"12";"20";"Mediterranean_Hispanic"
"480";"183";"80";"13";"20";"African_Caribbean"
"481";"186";"91";"12";"20";"Mediterranean_Hispanic"
"482";"172";"66";"10";"20";"Mediterranean_Hispanic"
"483";"189";"84";"8";"20";"Mediterranean_Hispanic"
"484";"187";"80";"13";"20";"Northern_European"
"485";"176";"74";"10";"20";"Mixed_Race"
"486";"174";"71";"12";"20";"African_Caribbean"
"487";"178";"79";"11";"20";"Northern_European"
"488";"184";"75";"20";"10";"Mediterranean_Hispanic"
"489";"197";"86";"20";"7";"Northern_European"
"490";"187";"79";"8";"20";"Northern_European"
"491";"182";"77";"13";"20";"Mediterranean_Hispanic"
"492";"187";"82";"9";"20";"Mediterranean_Hispanic"
"493";"178";"74";"10";"20";"Northern_European"
"494";"185";"74";"12";"20";"African_Caribbean"
"495";"185";"75";"9";"20";"Northern_European"
"496";"187";"87";"11";"20";"African_Caribbean"
"497";"178";"75";"12";"20";"Mediterranean_Hispanic"
"498";"184";"74";"11";"20";"African_Caribbean"
"499";"178";"73";"8";"20";"African_Caribbean"
"500";"178";"71";"11";"20";"African_Caribbean"
"501";"186";"81";"20";"10";"Mediterranean_Hispanic"
"502";"173";"69";"12";"20";"Mediterranean_Hispanic"
"503";"186";"81";"10";"20";"Mixed_Race"
"504";"180";"81";"10";"20";"Mediterranean_Hispanic"
"505";"186";"84";"8";"20";"Mediterranean_Hispanic"
"506";"182";"80";"14";"20";"African_Caribbean"
"507";"194";"85";"20";"11";"Northern_European"
"508";"180";"80";"20";"10";"African_Caribbean"
"509";"190";"86";"20";"11";"Northern_European"
"510";"175";"72";"8";"20";"African_Caribbean"
"511";"181";"81";"10";"20";"African_Caribbean"
"512";"184";"74";"20";"12";"Northern_European"
"513";"182";"68";"12";"20";"Mediterranean_Hispanic"
"514";"170";"68";"10";"20";"Mixed_Race"
"515";"178";"67";"8";"20";"Mediterranean_Hispanic"
"516";"180";"72";"12";"20";"Northern_European"
"517";"185";"86";"8";"20";"Mediterranean_Hispanic"
"518";"178";"77";"20";"10";"Mediterranean_Hispanic"
"519";"181";"77";"20";"10";"Northern_European"
"520";"180";"75";"20";"8";"Northern_European"
"521";"195";"94";"8";"20";"African_Caribbean"
"522";"180";"75";"20";"11";"Northern_European"
"523";"176";"72";"12";"20";"Northern_European"
"524";"186";"74";"13";"20";"Northern_European"
