"Name(ocultar)";"Futbolista_ID";"Habilidad Actual (200)";"Habilidad Potencial (200)"
"Nicolás Otamendi";"102";"158";"159"
"Memphis Depay";"103";"158";"161"
"Keylor Navas";"104";"158";"167"
"Christopher Nkunku";"105";"158";"163"
"Ben Chilwell";"106";"158";"165"
"Diogo Jota";"107";"158";"166"
"Pepe";"108";"158";"165"
"Victor Osimhen";"109";"157";"171"
"Dušan Tadić";"110";"157";"160"
"Joël Matip";"111";"157";"158"
"Sergio Canales";"112";"157";"160"
"Koke";"113";"157";"162"
"Pau Torres";"114";"157";"167"
"Sergio Busquets";"115";"157";"171"
"Franck Kessié";"116";"156";"164"
"Ferland Mendy";"117";"156";"160"
"Gonçalo Guedes";"118";"156";"162"
"Ángel Correa";"119";"156";"162"
"Kurt Zouma";"120";"156";"162"
"Sandro Tonali";"121";"156";"172"
"Eden Hazard";"122";"156";"185"
"Federico Chiesa";"123";"156";"167"
"Oleksandr Zinchenko";"124";"156";"160"
"Ivan Perišić";"125";"156";"159"
"Manuel Akanji";"126";"156";"156"
"Guido Rodríguez";"127";"155";"162"
"Alejandro Gómez";"128";"155";"161"
"Dani Parejo";"129";"155";"159"
"Andreas Christensen";"130";"155";"165"
"Lucas Hernández";"131";"155";"160"
"Sebastián Coates";"132";"155";"158"
"Rafa";"133";"155";"158"
"Carlos Soler";"134";"155";"163"
"Roberto Firmino";"135";"155";"175"
"Marcos Llorente";"136";"155";"163"
"Gerard Piqué";"137";"155";"173"
"Jamal Musiala";"138";"155";"180"
"Lorenzo Pellegrini";"139";"155";"162"
"Naby Keïta";"140";"155";"164"
"Fabián";"141";"155";"161"
"Piotr Zieliński";"142";"155";"159"
"Jadon Sancho";"143";"155";"177"
"Raphinha";"144";"155";"163"
"Jude Bellingham";"145";"155";"-95"
"Timo Werner";"146";"154";"161"
"Unai Simón";"147";"154";"168"
"Pablo Sarabia";"148";"154";"156"
"Christian Pulisic";"149";"154";"170"
"Rodrigo De Paul";"150";"154";"160"
"Niklas Süle";"151";"154";"162"
"Dayot Upamecano";"152";"154";"170"
"Gerard Moreno";"153";"154";"161"
"Ferran Torres";"154";"154";"167"
"Iago Aspas";"155";"154";"160"
"Jordan Henderson";"156";"154";"159"
"Jordi Alba";"157";"154";"166"
"Dejan Kulusevski";"158";"153";"171"
"Nabil Fekir";"159";"153";"158"
"Denzel Dumfries";"160";"153";"159"
"Jesús Corona";"161";"153";"160"
"Kim Min-Jae";"162";"153";"159"
"Nathan Aké";"163";"153";"164"
"Eric Dier";"164";"153";"156"
"Álvaro Morata";"165";"153";"166"
"Mehdi Taremi";"166";"153";"155"
"Jamie Vardy";"167";"153";"163"
"Cristian Romero";"168";"153";"164"
"Philippe Coutinho";"169";"153";"170"
"Iñaki Williams";"170";"153";"159"
"Hakan Çalhanoğlu";"171";"153";"159"
"James Maddison";"172";"153";"163"
"Tammy Abraham";"173";"153";"163"
"Pedro Gonçalves";"174";"153";"161"
"Wojciech Szczęsny";"175";"153";"169"
"Georginio Wijnaldum";"176";"153";"161"
"Fikayo Tomori";"177";"153";"167"
"Luis Alberto";"178";"153";"160"
"Rúben Neves";"179";"153";"169"
"Dušan Vlahović";"180";"153";"170"
"Yann Sommer";"181";"153";"155"
"Mikel Merino";"182";"153";"159"
"Khvicha Kvaratskhelia";"183";"153";"174"
"André-Franck Zambo Anguissa";"184";"153";"159"
"Marc Cucurella";"185";"153";"164"
"Nacho";"186";"153";"155"
"Otávio";"187";"153";"155"
"Chris Smalling";"188";"152";"154"
"Alessandro Bastoni";"189";"152";"168"
"Marco Asensio";"190";"152";"165"
"Kieran Trippier";"191";"152";"153"
"Juan Cuadrado";"192";"152";"163"
"Benjamin Pavard";"193";"152";"156"
"James Ward-Prowse";"194";"152";"155"
"Dani Olmo";"195";"152";"163"
"Giovanni Di Lorenzo";"196";"152";"155"
"Cody Gakpo";"197";"152";"162"
"Raúl Albiol";"198";"152";"161"
"Samir Handanovič";"199";"152";"164"
"Rodrygo";"200";"152";"175"
"William Carvalho";"201";"152";"156"
"João Palhinha";"202";"152";"160"
"Steven Berghuis";"203";"152";"152"
"Leandro Trossard";"204";"152";"157"
"Patrik Schick";"205";"152";"155"
"Dani Carvajal";"206";"152";"162"
"Iker Muniain";"207";"152";"165"
"Ismaël Bennacer";"208";"152";"163"
"Dominic Calvert-Lewin";"209";"152";"163"
"Ibrahima Konaté";"210";"152";"165"
"Zlatan Ibrahimović";"211";"152";"186"
"Lucas Ocampos";"212";"152";"155"
"Youri Tielemans";"213";"152";"170"
"Kostas Tsimikas";"214";"152";"159"
"Kalvin Phillips";"215";"152";"156"
"Joe Gomez";"216";"151";"164"
"Wissam Ben Yedder";"217";"151";"154"
"Arkadiusz Milik";"218";"151";"160"
"Leonardo Bonucci";"219";"151";"173"
"Marcus Rashford";"220";"151";"173"
"Kieran Tierney";"221";"151";"164"
"David Silva";"222";"151";"179"
"David Neres";"223";"151";"157"
"Stefan de Vrij";"224";"151";"161"
"Duván Zapata";"225";"151";"159"
"Wesley Fofana";"226";"151";"180"
"Arnaut Danjuma";"227";"151";"160"
"Steven Bergwijn";"228";"151";"157"
"Bremer";"229";"151";"162"
"Alexander Isak";"230";"151";"166"
"Mats Hummels";"231";"151";"177"
"Stefan Savić";"232";"151";"155"
"Olivier Giroud";"233";"151";"156"
"Borja Iglesias";"234";"151";"155"
"Diogo Costa";"235";"150";"174"
"Moussa Diaby";"236";"150";"160"
"Edin Džeko";"237";"150";"168"
"Mateus Uribe";"238";"150";"150"
"Diego Carlos";"239";"150";"153"
"Idrissa Gueye";"240";"150";"152"
"Ricardo Horta";"241";"150";"153"
"Álex Remiro";"242";"150";"153"
"Edson Álvarez";"243";"150";"157"
"James Rodríguez";"244";"150";"175"
"Thomas Partey";"245";"150";"162"
"Marko Arnautović";"246";"150";"153"
"Nicolò Zaniolo";"247";"150";"165"
"Wilfried Zaha";"248";"150";"154"
"Marcos Acuña";"249";"150";"152"
"Yassine Bounou";"250";"150";"152"
"Jarrod Bowen";"251";"150";"160"
"Aaron Ramsdale";"252";"150";"162"
"Gabriel Paulista";"253";"150";"155"
"Héctor Herrera";"254";"150";"153"
"Tomáš Souček";"255";"150";"155"
"Enzo Fernández";"256";"150";"164"
"Pedro Porro";"257";"150";"164"
"Bruno Guimarães";"258";"150";"166"
"Hakim Ziyech";"259";"150";"160"
"Allan Saint-Maximin";"260";"150";"165"
"Darwin Núñez";"261";"150";"164"
"Raúl Jiménez";"262";"150";"155"
"Mauro Icardi";"263";"150";"174"
"Stanislav Lobotka";"264";"150";"155"
"Danilo";"265";"150";"156"
"Danilo Pereira";"266";"150";"153"
"Matheus Nunes";"267";"150";"162"
"Neto";"268";"150";"156"
"Vitinha";"269";"150";"173"
"André Onana";"270";"149";"158"
"Angeliño";"271";"149";"156"
"Pierre Kalulu";"272";"149";"169"
"Konrad Laimer";"273";"149";"155"
"Raphaël Guerreiro";"274";"149";"159"
"Thomas Lemar";"275";"149";"165"
"Geoffrey Kondogbia";"276";"149";"155"
"Robin Le Normand";"277";"149";"152"
"Ansu Fati";"278";"149";"-95"
"Amir Rrahmani";"279";"149";"153"
"Felipe Anderson";"280";"149";"155"
"Javi Galán";"281";"149";"155"
"Rodrigo Bentancur";"282";"149";"164"
"Nuno Mendes";"283";"149";"-9"
"Alex Oxlade-Chamberlain";"284";"149";"158"
"Jurriën Timber";"285";"149";"175"
"Davide Calabria";"286";"149";"156"
"Teun Koopmeiners";"287";"149";"164"
"Lorenzo Insigne";"288";"149";"166"
"Henrikh Mkhitaryan";"289";"149";"165"
"Wilfred Ndidi";"290";"149";"163"
"Manuel Locatelli";"291";"149";"162"
"João Moutinho";"292";"149";"154"
"Leandro Paredes";"293";"149";"154"
"Emiliano Martínez";"294";"149";"155"
"João Mário";"295";"149";"155"
"Pedro";"296";"149";"165"
"Lucas Veríssimo";"297";"148";"152"
"Hirving Lozano";"298";"148";"153"
"Gavi";"299";"148";"-95"
"Ruben Loftus-Cheek";"300";"148";"162"
"Marcel Sabitzer";"301";"148";"156"
"Nikola Milenković";"302";"148";"162"
"Simon Kjær";"303";"148";"155"
"Erik Lamela";"304";"148";"155"
"Giorgio Chiellini";"305";"148";"174"
"Luis Muriel";"306";"148";"158"
"Youssef En-Nesyri";"307";"148";"159"
"Matteo Politano";"308";"148";"153"
"Jonny Evans";"309";"148";"155"
"Takehiro Tomiyasu";"310";"148";"160"
"Edmond Tapsoba";"311";"148";"160"
"Filip Kostić";"312";"148";"155"
"César Azpilicueta";"313";"148";"165"
"Pierre-Emile Højbjerg";"314";"148";"151"
"Brais Méndez";"315";"148";"155"
"Jonas Hofmann";"316";"148";"152"
"Denis Suárez";"317";"148";"156"
"Callum Hudson-Odoi";"318";"148";"170"
"Nélson Semedo";"319";"148";"164"
"Gabriel Martinelli";"320";"148";"174"
"Edinson Cavani";"321";"148";"174"
"Richarlison";"322";"148";"166"
"André Silva";"323";"148";"154"
"Antony";"324";"148";"165"
"Felipe";"325";"148";"152"
"Gabriel";"326";"148";"160"
"Oscar";"327";"148";"175"
"Pepê";"328";"148";"157"
"Weverton";"329";"148";"148"
"Alex Meret";"330";"147";"156"
"Maximiliano Gómez";"331";"147";"155"
"Francesco Acerbi";"332";"147";"155"
"Emile Smith Rowe";"333";"147";"168"
"Pierre-Emerick Aubameyang";"334";"147";"170"
"Lucas Paquetá";"335";"147";"161"
"Domenico Berardi";"336";"147";"153"
"Benjamin White";"337";"147";"162"
"Eduardo Camavinga";"338";"147";"180"
"Mattia Zaccagni";"339";"147";"152"
"Leonardo Spinazzola";"340";"147";"153"
"Martin Terrier";"341";"147";"151"
"Andrej Kramarić";"342";"147";"152"
"Ivan Rakitic";"343";"147";"168"
"Marten de Roon";"344";"147";"152"
"Lewis Dunk";"345";"147";"150"
"Hugo Lloris";"346";"147";"170"
"Rui Patrício";"347";"147";"157"
"Daley Blind";"348";"147";"152"
"Mário Rui";"349";"147";"148"
"Luke Shaw";"350";"147";"162"
"Mario Pašalić";"351";"147";"152"
"Lucas Vázquez";"352";"147";"156"
"Adrien Rabiot";"353";"147";"157"
"Nicolás González";"354";"147";"158"
"Lucas Digne";"355";"147";"155"
"Ante Rebić";"356";"147";"156"
"Mario Götze";"357";"147";"171"
"Fernandinho";"358";"147";"165"
"Jonny";"359";"147";"157"
"Luis Suárez";"360";"147";"188"
"Raúl García";"361";"147";"175"
"Adama Traoré";"362";"146";"154"
"Rafael Toloi";"363";"146";"151"
"Roger Ibañez";"364";"146";"158"
"Denis Zakaria";"365";"146";"155"
"Lucas Torreira";"366";"146";"155"
"Julián Álvarez";"367";"146";"162"
"Étienne Capoue";"368";"146";"148"
"Aleksandar Mitrović";"369";"146";"155"
"Julian Brandt";"370";"146";"158"
"Jordan Pickford";"371";"146";"152"
"Nicolas Pépé";"372";"146";"159"
"Joan Jordán";"373";"146";"149"
"Evanilson";"374";"146";"162"
"Álex Grimaldo";"375";"146";"150"
"Claudinho";"376";"146";"148"
"Emre Can";"377";"146";"155"
"Martín Zubimendi";"378";"146";"153"
"Weston McKennie";"379";"146";"156"
"Alexandr Golovin";"380";"146";"158"
"Ruslan Malinovskyi";"381";"146";"155"
"Giacomo Raspadori";"382";"146";"165"
"Luiz Felipe";"383";"146";"150"
"Pedro";"384";"146";"152"
"Hulk";"385";"145";"161"
"Fredrik Aursnes";"386";"145";"150"
"Kevin Volland";"387";"145";"151"
"Harry Maguire";"388";"145";"158"
"Charles De Ketelaere";"389";"145";"169"
"Walter Benítez";"390";"145";"154"
"David De Gea";"391";"145";"178"
"Kyle Walker-Peters";"392";"145";"150"
"Thomas Delaney";"393";"145";"146"
"Xaver Schlager";"394";"145";"156"
"William Saliba";"395";"145";"175"
"Óliver";"396";"145";"155"
"Robin Gosens";"397";"145";"156"
"Brahim Díaz";"398";"145";"158"
"Timothy Castagne";"399";"145";"152"
"Noussair Mazraoui";"400";"145";"153"
"Adam Marušić";"401";"145";"150"
"Miralem Pjanić";"402";"145";"169"
"Juan Foyth";"403";"145";"157"
"Malcom";"404";"145";"153"
"Aritz Elustondo";"405";"145";"145"
"Jesús Navas";"406";"145";"161"
"Ander Herrera";"407";"145";"156"
"José Campaña";"408";"145";"152"
"Joaquín Correa";"409";"145";"155"
"Alessio Romagnoli";"410";"145";"150"
"Suso";"411";"145";"155"
"Gregor Kobel";"412";"145";"155"
"Renato Tapia";"413";"145";"150"
"Unai Vencedor";"414";"145";"172"
"Bryan Cristante";"415";"145";"150"
"Anthony Martial";"416";"145";"170"
"Uğurcan Çakır";"417";"145";"160"
"Saúl";"418";"145";"162"
"Juan Musso";"419";"145";"157"
"Merih Demiral";"420";"145";"158"
"Manuel Lazzari";"421";"145";"150"
"Alessandro Florenzi";"422";"145";"154"
"Giovani Lo Celso";"423";"145";"151"
"Sergi Roberto";"424";"145";"155"
"Marek Hamšík";"425";"145";"170"
"Raúl De Tomás";"426";"145";"150"
"Santi Mina";"427";"145";"146"
"Emil Forsberg";"428";"145";"150"
"Jordan Veretout";"429";"145";"154"
"José Luis Palomino";"430";"145";"150"
"Renato Sanches";"431";"145";"156"
"Sergi Darder";"432";"145";"154"
"Federico Dimarco";"433";"145";"154"
"Íñigo Martínez";"434";"145";"165"
"Téji Savanier";"435";"145";"150"
"Andy Delort";"436";"145";"150"
"Fernando";"437";"145";"150"
"Allan";"438";"144";"160"
"Charles Aránguiz";"439";"144";"150"
"Mohammed Salisu";"440";"144";"160"
"Nicolás Tagliafico";"441";"144";"155"
"Álex Berenguer";"442";"144";"153"
"Kiernan Dewsbury-Hall";"443";"144";"165"
"Wílmar Barrios";"444";"144";"146"
"Kepa Arrizabalaga";"445";"144";"160"
"Conor Gallagher";"446";"144";"164"
"Clément Lenglet";"447";"144";"154"
"Harvey Barnes";"448";"144";"165"
"Kevin Trapp";"449";"144";"148"
"Trevoh Chalobah";"450";"144";"155"
"Éver Banega";"451";"144";"161"
"Florian Thauvin";"452";"144";"154"
"Cristiano Biraghi";"453";"144";"150"
"Douglas Santos";"454";"144";"144"
"Ivan Provedel";"455";"144";"150"
"Gianluca Mancini";"456";"144";"150"
"Reinildo";"457";"144";"152"
"Remo Freuler";"458";"144";"152"
"Kasper Schmeichel";"459";"144";"150"
"Callum Wilson";"460";"144";"155"
"Thorgan Hazard";"461";"144";"153"
"Fred";"462";"144";"149"
"Giorgian De Arrascaeta";"463";"144";"150"
"Juan Bernat";"464";"144";"151"
"Hidemasa Morita";"465";"144";"145"
"Ben Davies";"466";"144";"145"
"Gerard Deulofeu";"467";"144";"150"
"Florian Grillitsch";"468";"144";"147"
"Alfonso Pedraza";"469";"144";"148"
"Alexis Mac Allister";"470";"144";"159"
"Eric García";"471";"144";"165"
"Rafa Mir";"472";"144";"154"
"Marcos Alonso";"473";"144";"151"
"Ismaïla Sarr";"474";"144";"153"
"Axel Witsel";"475";"144";"160"
"Divock Origi";"476";"144";"158"
"Pablo Fornals";"477";"144";"165"
"Dudu";"478";"144";"146"
"Arthur";"479";"143";"155"
"James Justin";"480";"143";"161"
"Renato Augusto";"481";"143";"159"
"Lucas Moura";"482";"143";"154"
"Gerónimo Rulli";"483";"143";"159"
"Victor Lindelöf";"484";"143";"150"
"Francis Coquelin";"485";"143";"155"
"Ademola Lookman";"486";"143";"154"
"Nikola Vlašić";"487";"143";"155"
"Mario Hermoso";"488";"143";"158"
"Koen Casteels";"489";"143";"152"
"Dominik Livaković";"490";"143";"144"
"Manuel Ugarte";"491";"143";"152"
"Germán Pezzella";"492";"143";"150"
"Danny Ings";"493";"143";"160"
"Séko Fofana";"494";"143";"147"
"Curtis Jones";"495";"143";"160"
"Ivan Toney";"496";"143";"150"
"Manu Trigueros";"497";"143";"153"
"Florentino Luís";"498";"143";"155"
"Moisés Caicedo";"499";"143";"-9"
"Djéné Dakonam";"500";"143";"150"
"Fernando Pacheco";"501";"143";"145"
"Hugo Mallo";"502";"143";"152"
"Joelinton";"503";"143";"145"
"Giovanni Simeone";"504";"143";"150"
"André-Pierre Gignac";"505";"143";"153"
"Marc Guéhi";"506";"143";"168"
"Nemanja Matić";"507";"143";"165"
"Alex Sandro";"508";"143";"168"
"Antonín Barák";"509";"143";"148"
"Jonathan Bamba";"510";"143";"147"
"Corentin Tolisso";"511";"143";"145"
"Maximilian Arnold";"512";"143";"148"
"Eljif Elmas";"513";"143";"157"
"Daniel Alves";"514";"143";"174"
"Jonathan Clauss";"515";"143";"148"
"Alexis Saelemaekers";"516";"143";"159"
"Gustavo Gómez";"517";"143";"144"
"Lisandro Martínez";"518";"143";"155"
"John McGinn";"519";"143";"150"
"David Raum";"520";"143";"150"
"Alphonse Areola";"521";"143";"154"
"Adnan Januzaj";"522";"143";"155"
"Florian Wirtz";"523";"143";"-9"
"Dominik Szoboszlai";"524";"143";"-9"
"Stephen Eustáquio";"525";"143";"151"
"Gonzalo Higuaín";"526";"143";"180"
"Kelechi Iheanacho";"527";"143";"155"
"Jeremías Ledesma";"528";"143";"149"
"James Milner";"529";"143";"157"
"Matheus Cunha";"530";"143";"162"
"Héctor Bellerín";"531";"143";"162"
"Takefusa Kubo";"532";"143";"159"
"Tanguy Ndombele";"533";"143";"155"
"Claudio Bravo";"534";"143";"167"
"Javi Martínez";"535";"143";"165"
"Paulinho";"536";"143";"154"
"Rafinha";"537";"143";"156"
"Emiliano Buendía";"538";"142";"160"
"Destiny Udogie";"539";"142";"-9"
"Leon Bailey";"540";"142";"160"
"Marcus Edwards";"541";"142";"156"
"Mohammed Kudus";"542";"142";"160"
"Fábio Vieira";"543";"142";"165"
"Gianluca Scamacca";"544";"142";"161"
"Talisca";"545";"142";"161"
"Michail Antonio";"546";"142";"148"
"Umar Sadiq";"547";"142";"159"
"Granit Xhaka";"548";"142";"160"
"Oriol Romeu";"549";"142";"145"
"Renan Lodi";"550";"142";"157"
"Donny van de Beek";"551";"142";"160"
"Junior Messias";"552";"142";"145"
"Toby Alderweireld";"553";"142";"170"
"Rick Karsdorp";"554";"142";"147"
"Marc Bartra";"555";"142";"152"
"Ibrahim Sangaré";"556";"142";"149"
"Matteo Darmian";"557";"142";"146"
"Marcus Thuram";"558";"142";"152"
"Odysseas Vlachodimos";"559";"142";"142"
"Anthony Lopes";"560";"142";"154"
"Aaron Cresswell";"561";"142";"145"
"David Soria";"562";"142";"150"
"Matteo Guendouzi";"563";"142";"163"
"Antonio Adán";"564";"142";"155"
"Berat Djimsiti";"565";"142";"145"
"Joachim Andersen";"566";"142";"151"
"Julian Weigl";"567";"142";"150"
"Jonathan Tah";"568";"142";"153"
"Willi Orbán";"569";"142";"143"
"Roberto Pereyra";"570";"142";"150"
"Juanmi";"571";"142";"150"
"Robert Skov";"572";"142";"145"
"Chancel Mbemba";"573";"142";"145"
"Willian José";"574";"142";"155"
"Alexander Sørloth";"575";"142";"148"
"Marius Wolf";"576";"142";"143"
"Tariq Lamptey";"577";"142";"167"
"Isco";"578";"142";"180"
"Yeremy Pino";"579";"142";"175"
"Adam Webster";"580";"142";"144"
"Gabriel Barbosa";"581";"142";"152"
"Ricardo Pereira";"582";"142";"165"
"Jonathan Rodríguez";"583";"142";"150"
"Beto";"584";"142";"151"
"David Ospina";"585";"142";"153"
"Gareth Bale";"586";"142";"186"
"Adam Lallana";"587";"142";"159"
"Lukás Hrádecký";"588";"142";"144"
"Marko Livaja";"589";"142";"144"
"Jeremie Frimpong";"590";"142";"162"
"Gonzalo Martínez";"591";"142";"150"
"Diego Costa";"592";"142";"168"
"Ederson";"593";"142";"157"
"Matheus";"594";"142";"145"
"Jonathan Viera";"595";"141";"151"
"Dani García";"596";"141";"152"
"Maxime Lopez";"597";"141";"154"
"Tyrick Mitchell";"598";"141";"155"
"José Luis Morales";"599";"141";"147"
"Portu";"600";"141";"154"
"Wendel";"601";"141";"155"
"Oliver Skipp";"602";"141";"156"
"José Sá";"603";"141";"145"
"Kevin Kampl";"604";"141";"150"
"Kristoffer Ajer";"605";"141";"151"
"Francisco Trincão";"606";"141";"162"
"Ebere Eze";"607";"141";"155"
"Hans Hateboer";"608";"141";"149"
"Nico Schlotterbeck";"609";"141";"162"
"Florian Neuhaus";"610";"141";"150"
"Ross Barkley";"611";"141";"159"
"Xherdan Shaqiri";"612";"141";"159"
"Dimitri Payet";"613";"141";"154"
"Marko Grujić";"614";"141";"146"
"Sergio Reguilón";"615";"141";"152"
"Harvey Elliott";"616";"141";"170"
"Ridle Baku";"617";"141";"154"
"Luis Sinisterra";"618";"141";"152"
"Guglielmo Vicario";"619";"141";"150"
"Marc Roca";"620";"141";"145"
"Sébastien Haller";"621";"141";"145"
"Ali Al Musrati";"622";"141";"142"
"Kenneth Taylor";"623";"141";"-85"
"Jonas Hector";"624";"141";"148"
"Ollie Watkins";"625";"141";"150"
"Matheus Reis";"626";"141";"142"
"Marcelo Grohe";"627";"141";"148"
"Álvaro Odriozola";"628";"141";"150"
"Patson Daka";"629";"141";"165"
"Ramy Bensebaïni";"630";"141";"145"
"Angelo Ogbonna";"631";"141";"152"
"Giacomo Bonaventura";"632";"141";"153"
"Breel Embolo";"633";"141";"145"
"Óscar";"634";"141";"158"
"Davy Klaassen";"635";"141";"143"
"Álvaro García";"636";"141";"142"
"Matthias Ginter";"637";"141";"148"
"Mislav Oršić";"638";"141";"142"
"Yacine Brahimi";"639";"141";"156"
"David López";"640";"141";"152"
"Emerson Royal";"641";"141";"153"
"Callum McGregor";"642";"141";"145"
"Álex Moreno";"643";"141";"145"
"Salih Özcan";"644";"141";"150"
"Ander Barrenetxea";"645";"141";"154"
"Nuno Santos";"646";"141";"145"
"Patric";"647";"141";"146"
"Pervis Estupiñán";"648";"140";"156"
"David Raya";"649";"140";"149"
"Dani Ceballos";"650";"140";"163"
"Vladimír Coufal";"651";"140";"140"
"Nahuel Molina";"652";"140";"154"
"Jorge De Frutos";"653";"140";"148"
"Saïd Benrahma";"654";"140";"148"
"Alban Lafont";"655";"140";"160"
"Dean Henderson";"656";"140";"160"
"Guillermo Ochoa";"657";"140";"148"
"Gonçalo Ramos";"658";"140";"152"
"Santos";"659";"140";"145"
"Tyrone Mings";"660";"140";"142"
"Matías Vecino";"661";"140";"148"
"Martin Braithwaite";"662";"140";"145"
"Miguel Almirón";"663";"140";"158"
"Hugo Guillamón";"664";"140";"156"
"Ander Capa";"665";"140";"145"
"Omar Alderete";"666";"140";"149"
"Nick Pope";"667";"140";"155"
"Almoez Ali";"668";"140";"150"
"Mahmoud Dahoud";"669";"140";"150"
"Rodrigo Becão";"670";"140";"146"
"Agustín Marchesín";"671";"140";"152"
"Álvaro Fidalgo";"672";"140";"145"
"Jota";"673";"140";"153"
"Simon Mignolet";"674";"140";"152"
"Jan Bednarek";"675";"140";"145"
"Raphael Veiga";"676";"140";"141"
"Sérgio Oliveira";"677";"140";"150"
"Guilherme Arana";"678";"140";"145"
"Thierry Rendall Correia";"679";"140";"158"
"Roland Sallai";"680";"140";"150"
"Lucas Martínez Quarta";"681";"140";"146"
"Salem Al-Dawsari";"682";"140";"148"
"Igor";"683";"140";"154"
"Gérson";"684";"140";"158"
"Nordi Mukiele";"685";"140";"152"
"Altay Bayındır";"686";"140";"150"
"Douglas Luiz";"687";"140";"155"
"Mouctar Diakhaby";"688";"140";"149"
"Facundo Torres";"689";"140";"158"
"Samuel Chukwueze";"690";"140";"165"
"Daniel Wass";"691";"140";"150"
"Alberto Moreno";"692";"140";"150"
"Julian Draxler";"693";"140";"151"
"Tyler Adams";"694";"140";"151"
"Luka Jović";"695";"140";"155"
"Andriy Lunin";"696";"140";"156"
"Zack Steffen";"697";"140";"146"
"Stephan El Shaarawy";"698";"140";"152"
"Gaëtan Laborde";"699";"140";"145"
"Mykhaylo Mudryk";"700";"140";"163"
