"Name(ocultar)";"Futbolista_ID";"Corners";"Pases precisos";"Regate";"Finalizar";"Primer toque";"Lanzamiento de faltas";"Cabezazo";"Disparos a distancia";"Pases largos";"Marcaje";"Pases";"Lanzamiento de penalti";"Choque";"Tecnica";"Agresividad";"Anticipación";"Sacrificio";"Serenidad";"Concentración";"Visión";"Decisión";"Determinación";"Creatividad";"Liderazgo";"Juego sin balón";"Posición secundaria";"Trabajo en equipo";"Intensidad de trabajo";"Aceleración";"Agilidad";"Balance";"Salto vertical";"Estado físico";"Velocidad maxima en carrera";"Cardio";"Fuerza";"Estabilidad";"Faltas"
"Reece James";"44";"13";"16";"11";"12";"14";"14";"14";"11";"9";"13";"13";"7";"14";"15";"16";"14";"18";"16";"14";"11";"16";"17";"12";"13";"12";"13";"15";"16";"15";"12";"19";"10";"15";"14";"15";"18";"16";"10"
"David Alaba";"45";"12";"11";"12";"10";"15";"15";"13";"14";"13";"14";"16";"14";"13";"15";"13";"15";"12";"16";"15";"13";"15";"16";"12";"15";"14";"16";"15";"14";"15";"12";"14";"12";"18";"15";"15";"13";"14";"8"
"Mateo Kovačić";"46";"10";"10";"17";"8";"17";"12";"10";"10";"7";"12";"15";"12";"15";"17";"14";"16";"14";"18";"11";"15";"16";"17";"16";"11";"13";"12";"15";"17";"15";"15";"16";"9";"12";"14";"15";"15";"13";"12"
"Kyle Walker";"47";"8";"11";"14";"7";"13";"11";"13";"8";"12";"14";"13";"6";"13";"13";"13";"16";"13";"13";"13";"12";"13";"16";"10";"11";"13";"14";"15";"16";"19";"13";"13";"11";"19";"18";"17";"13";"18";"5"
"Marco Verratti";"48";"14";"17";"16";"10";"18";"13";"6";"13";"6";"12";"18";"15";"15";"17";"14";"17";"16";"18";"14";"18";"15";"14";"18";"12";"14";"13";"17";"13";"12";"16";"16";"6";"12";"12";"12";"9";"14";"12"
"Leon Goretzka";"49";"5";"11";"12";"14";"15";"6";"16";"15";"6";"12";"15";"11";"15";"15";"14";"17";"16";"16";"15";"15";"15";"18";"12";"14";"18";"13";"17";"18";"12";"11";"15";"16";"12";"15";"17";"17";"16";"9"
"Jorginho";"50";"11";"12";"12";"8";"18";"9";"7";"9";"2";"10";"18";"18";"14";"16";"10";"16";"14";"19";"15";"18";"18";"15";"13";"15";"15";"14";"17";"17";"11";"14";"14";"9";"14";"12";"17";"9";"15";"10"
"Marquinhos";"51";"4";"11";"10";"8";"14";"4";"15";"10";"7";"16";"14";"8";"16";"14";"14";"17";"15";"17";"17";"13";"16";"17";"10";"15";"8";"16";"17";"15";"13";"13";"16";"13";"15";"14";"16";"14";"15";"8"
"Phil Foden";"52";"13";"13";"17";"14";"17";"13";"8";"12";"5";"8";"17";"12";"8";"17";"7";"14";"13";"15";"15";"16";"14";"14";"16";"8";"16";"9";"14";"16";"15";"17";"15";"7";"14";"16";"15";"9";"15";"6"
"Frenkie de Jong";"53";"9";"11";"16";"10";"17";"13";"10";"8";"6";"10";"16";"11";"12";"16";"7";"17";"11";"16";"15";"18";"16";"15";"15";"11";"15";"14";"17";"14";"14";"16";"13";"10";"13";"13";"13";"10";"15";"2"
"Rafael Leão";"54";"5";"15";"17";"15";"16";"6";"11";"13";"6";"4";"15";"12";"7";"15";"9";"13";"8";"13";"11";"14";"13";"14";"17";"8";"15";"7";"13";"13";"17";"18";"16";"14";"15";"16";"11";"14";"14";"5"
"Gabriel Jesus";"55";"7";"12";"16";"16";"15";"11";"15";"12";"4";"6";"14";"13";"8";"16";"12";"15";"13";"15";"14";"14";"15";"13";"16";"8";"16";"7";"15";"16";"15";"16";"15";"10";"15";"15";"14";"13";"13";"12"
"Antoine Griezmann";"56";"14";"15";"16";"14";"15";"15";"13";"14";"4";"5";"15";"13";"10";"17";"12";"15";"12";"11";"12";"16";"13";"17";"17";"10";"17";"10";"12";"14";"15";"14";"13";"9";"15";"14";"13";"10";"11";"9"
"Romelu Lukaku";"57";"4";"10";"13";"18";"13";"11";"15";"14";"3";"5";"13";"20";"10";"14";"16";"14";"16";"16";"13";"11";"14";"18";"13";"16";"15";"5";"19";"12";"14";"8";"20";"16";"13";"17";"14";"20";"17";"10"
"Jules Koundé";"58";"6";"13";"12";"9";"13";"5";"16";"7";"8";"16";"14";"8";"16";"13";"14";"17";"16";"14";"16";"14";"14";"16";"12";"14";"12";"15";"16";"16";"15";"16";"16";"13";"15";"14";"15";"14";"15";"7"
"Declan Rice";"59";"7";"11";"14";"9";"14";"8";"12";"9";"10";"14";"15";"11";"17";"14";"13";"15";"14";"17";"15";"14";"15";"17";"10";"16";"16";"17";"16";"17";"13";"13";"13";"12";"18";"13";"17";"13";"17";"12"
"Kingsley Coman";"60";"11";"13";"17";"12";"15";"6";"9";"14";"4";"7";"13";"10";"8";"17";"13";"13";"12";"12";"12";"14";"12";"14";"17";"5";"14";"8";"12";"12";"19";"17";"13";"9";"13";"17";"12";"10";"13";"5"
"Sergej Milinković-Savić";"61";"4";"6";"14";"16";"16";"15";"17";"15";"3";"7";"16";"13";"13";"16";"14";"15";"17";"12";"11";"15";"13";"17";"18";"14";"16";"11";"16";"15";"12";"12";"17";"17";"20";"12";"18";"17";"17";"14"
"Ousmane Dembélé";"62";"13";"16";"19";"12";"14";"10";"7";"13";"6";"4";"12";"11";"5";"17";"9";"11";"11";"9";"8";"14";"8";"13";"18";"8";"14";"5";"7";"11";"18";"18";"11";"9";"12";"18";"12";"9";"11";"5"
"Gianluigi Donnarumma";"63";"1";"2";"4";"3";"7";"1";"7";"3";"8";"3";"7";"6";"7";"6";"8";"16";"16";"14";"14";"8";"15";"15";"6";"14";"2";"15";"15";"13";"10";"16";"16";"18";"15";"12";"15";"16";"17";"4"
"Casemiro";"64";"10";"11";"12";"11";"14";"10";"13";"14";"10";"14";"14";"11";"15";"14";"18";"14";"16";"15";"14";"12";"15";"17";"12";"15";"12";"18";"17";"18";"11";"12";"15";"13";"15";"12";"17";"17";"14";"17"
"Mike Maignan";"65";"1";"1";"6";"1";"12";"1";"6";"10";"5";"1";"13";"9";"5";"12";"8";"15";"14";"15";"16";"13";"14";"15";"6";"15";"1";"15";"15";"12";"8";"16";"14";"15";"17";"11";"14";"15";"17";"5"
"Milan Škriniar";"66";"4";"7";"9";"10";"10";"4";"17";"6";"11";"18";"12";"10";"17";"11";"17";"16";"17";"12";"13";"9";"13";"18";"6";"14";"10";"14";"16";"16";"14";"11";"16";"16";"18";"15";"16";"18";"15";"12"
"Sergio Ramos";"67";"9";"11";"13";"13";"14";"14";"20";"13";"12";"16";"15";"17";"16";"14";"18";"15";"16";"13";"10";"13";"11";"20";"14";"18";"12";"13";"13";"14";"12";"14";"15";"16";"15";"13";"15";"16";"13";"18"
"Lautaro Martínez";"68";"4";"8";"14";"15";"16";"8";"16";"14";"3";"5";"12";"15";"8";"16";"18";"15";"18";"13";"12";"12";"13";"19";"16";"12";"16";"7";"15";"18";"16";"17";"14";"11";"16";"17";"15";"13";"15";"14"
"Christian Eriksen";"69";"16";"16";"12";"14";"18";"17";"4";"14";"3";"5";"17";"16";"6";"17";"7";"15";"8";"15";"15";"17";"17";"16";"14";"8";"15";"12";"17";"16";"12";"12";"12";"8";"17";"11";"15";"7";"14";"3"
"Bukayo Saka";"70";"12";"14";"15";"11";"14";"8";"7";"12";"7";"9";"13";"12";"10";"15";"11";"16";"11";"14";"14";"15";"16";"16";"16";"6";"16";"9";"15";"15";"17";"16";"16";"9";"15";"15";"15";"11";"14";"8"
"John Stones";"71";"5";"8";"13";"8";"14";"5";"14";"5";"8";"13";"16";"12";"16";"15";"13";"15";"16";"17";"15";"14";"14";"13";"12";"13";"14";"16";"16";"17";"14";"13";"12";"16";"16";"15";"16";"15";"16";"8"
"Fabinho";"72";"6";"11";"13";"9";"16";"7";"14";"12";"8";"15";"15";"15";"16";"15";"16";"16";"15";"15";"14";"13";"16";"15";"11";"10";"12";"16";"17";"15";"14";"14";"14";"15";"16";"14";"15";"14";"17";"11"
"Nicolò Barella";"73";"12";"13";"14";"11";"15";"14";"7";"13";"3";"11";"16";"12";"17";"15";"19";"14";"18";"14";"13";"16";"14";"19";"14";"14";"15";"14";"18";"20";"14";"15";"16";"8";"17";"15";"15";"13";"16";"14"
"Achraf Hakimi";"74";"7";"15";"13";"14";"14";"12";"8";"13";"12";"10";"14";"8";"13";"14";"14";"13";"12";"12";"10";"13";"12";"15";"14";"8";"18";"10";"12";"14";"18";"14";"14";"9";"17";"20";"14";"11";"14";"8"
"Raphaël Varane";"75";"4";"6";"10";"6";"13";"8";"16";"6";"10";"17";"14";"10";"16";"14";"11";"16";"13";"13";"15";"9";"13";"12";"11";"10";"6";"17";"14";"12";"16";"13";"11";"17";"16";"16";"15";"15";"14";"6"
"Riyad Mahrez";"76";"14";"16";"17";"16";"20";"14";"8";"13";"4";"5";"16";"13";"8";"17";"6";"13";"7";"16";"13";"17";"13";"13";"17";"5";"15";"5";"13";"13";"15";"17";"15";"9";"14";"14";"14";"8";"14";"7"
"Ángel Di María";"77";"16";"17";"17";"14";"16";"14";"5";"17";"4";"4";"17";"14";"7";"19";"12";"16";"12";"14";"12";"18";"14";"16";"17";"10";"15";"4";"12";"12";"15";"17";"12";"10";"15";"15";"12";"10";"14";"14"
"Ciro Immobile";"78";"3";"3";"12";"18";"13";"3";"16";"13";"3";"4";"12";"17";"7";"12";"14";"19";"15";"14";"13";"11";"14";"20";"12";"15";"19";"3";"16";"16";"15";"14";"16";"11";"20";"16";"15";"13";"17";"8"
"Kalidou Koulibaly";"79";"4";"6";"10";"10";"12";"4";"16";"6";"6";"18";"13";"6";"17";"11";"15";"14";"18";"10";"8";"10";"13";"11";"8";"13";"10";"16";"16";"16";"12";"14";"15";"15";"13";"17";"15";"19";"14";"13"
"Trent Alexander-Arnold";"80";"15";"18";"12";"10";"17";"14";"11";"12";"14";"11";"16";"12";"13";"17";"12";"13";"11";"15";"12";"16";"15";"15";"14";"12";"15";"11";"16";"14";"14";"14";"14";"11";"15";"14";"14";"13";"13";"10"
"Paul Pogba";"81";"10";"14";"16";"14";"18";"15";"14";"14";"4";"6";"19";"15";"11";"18";"12";"16";"10";"14";"10";"18";"12";"13";"18";"13";"14";"7";"15";"8";"12";"13";"16";"16";"15";"14";"16";"16";"14";"14"
"Ronald Araujo";"82";"5";"7";"11";"10";"13";"8";"17";"11";"7";"17";"12";"13";"17";"12";"15";"15";"18";"15";"15";"11";"14";"17";"7";"16";"7";"15";"15";"16";"12";"11";"12";"16";"13";"16";"15";"16";"15";"12"
"Serge Gnabry";"83";"12";"11";"15";"15";"14";"11";"11";"16";"6";"8";"13";"11";"9";"15";"11";"16";"12";"14";"11";"14";"12";"12";"15";"5";"17";"8";"12";"12";"16";"15";"16";"8";"13";"15";"12";"12";"12";"6"
"Paulo Dybala";"84";"16";"15";"18";"15";"18";"17";"13";"17";"4";"4";"17";"16";"4";"19";"9";"16";"10";"12";"11";"17";"14";"13";"17";"11";"14";"4";"14";"12";"14";"18";"18";"7";"10";"12";"12";"12";"13";"5"
"Éder Militão";"85";"9";"10";"12";"8";"12";"14";"15";"11";"10";"16";"13";"13";"15";"12";"15";"16";"16";"13";"12";"11";"13";"15";"10";"16";"12";"15";"14";"15";"15";"15";"15";"15";"18";"15";"16";"16";"13";"12"
"Alphonso Davies";"86";"6";"12";"17";"9";"12";"6";"7";"9";"12";"11";"12";"10";"14";"14";"15";"12";"15";"12";"11";"12";"12";"17";"16";"7";"14";"11";"15";"16";"19";"14";"12";"10";"16";"19";"16";"12";"12";"7"
"Martin Ødegaard";"87";"14";"14";"16";"12";"17";"15";"9";"13";"7";"10";"16";"10";"8";"17";"7";"18";"10";"15";"12";"17";"16";"15";"16";"14";"16";"9";"17";"14";"14";"16";"15";"9";"13";"13";"15";"11";"11";"4"
"Marcelo Brozović";"88";"14";"12";"10";"10";"16";"13";"11";"13";"4";"12";"17";"12";"17";"16";"13";"15";"14";"14";"17";"15";"12";"16";"12";"14";"13";"14";"18";"16";"12";"12";"16";"10";"20";"12";"20";"12";"18";"9"
"Pedri";"89";"9";"14";"17";"11";"18";"9";"7";"11";"6";"6";"17";"11";"9";"17";"11";"17";"11";"16";"15";"18";"16";"14";"18";"9";"13";"9";"13";"15";"14";"15";"13";"8";"16";"13";"16";"9";"15";"5"
"Aurélien Tchouameni";"90";"8";"10";"12";"6";"14";"6";"14";"13";"8";"15";"15";"10";"16";"14";"16";"17";"16";"15";"15";"15";"15";"16";"13";"11";"13";"15";"15";"16";"14";"14";"15";"14";"16";"14";"17";"16";"15";"7"
"João Félix";"91";"11";"12";"17";"15";"16";"12";"12";"13";"4";"4";"17";"14";"7";"18";"14";"15";"11";"15";"13";"16";"16";"16";"19";"7";"18";"6";"12";"11";"13";"15";"13";"9";"14";"12";"12";"9";"12";"14"
"Theo Hernández";"92";"8";"15";"16";"13";"14";"12";"13";"15";"11";"12";"13";"15";"14";"13";"18";"13";"14";"12";"11";"12";"12";"16";"13";"13";"17";"11";"12";"13";"17";"14";"17";"12";"16";"18";"16";"13";"14";"16"
"José Gayà";"93";"14";"14";"14";"8";"15";"14";"5";"11";"8";"12";"14";"13";"14";"16";"12";"15";"13";"14";"14";"15";"16";"16";"14";"15";"16";"14";"15";"15";"17";"16";"13";"7";"14";"16";"15";"11";"16";"9"
"José Giménez";"94";"7";"10";"11";"7";"12";"6";"16";"8";"13";"15";"12";"10";"16";"12";"15";"15";"17";"16";"15";"11";"15";"15";"10";"13";"10";"16";"16";"16";"14";"12";"13";"13";"12";"13";"15";"15";"13";"14"
"Presnel Kimpembe";"95";"4";"10";"10";"6";"13";"5";"16";"6";"8";"16";"12";"10";"17";"13";"17";"15";"18";"15";"16";"10";"14";"16";"8";"12";"10";"15";"16";"16";"13";"13";"16";"14";"16";"14";"16";"16";"14";"9"
"Marco Reus";"96";"15";"13";"13";"16";"16";"16";"6";"15";"7";"6";"15";"15";"9";"16";"15";"15";"12";"16";"15";"14";"15";"18";"13";"13";"18";"10";"14";"15";"14";"12";"14";"8";"12";"13";"13";"9";"17";"4"
"Andrew Robertson";"97";"14";"16";"12";"5";"15";"9";"10";"6";"13";"15";"14";"7";"15";"14";"17";"14";"15";"15";"14";"13";"15";"16";"11";"15";"14";"14";"16";"17";"16";"14";"14";"9";"17";"16";"18";"12";"16";"13"
"Mikel Oyarzábal";"98";"14";"12";"15";"15";"14";"13";"12";"12";"12";"13";"15";"19";"12";"16";"13";"14";"13";"14";"14";"16";"14";"16";"14";"17";"15";"13";"14";"16";"13";"14";"14";"13";"14";"13";"14";"14";"14";"7"
"Yves Bissouma";"99";"8";"11";"14";"9";"16";"13";"12";"13";"7";"14";"16";"13";"17";"16";"13";"15";"14";"15";"15";"10";"14";"14";"14";"11";"12";"16";"15";"16";"16";"14";"13";"12";"14";"14";"16";"15";"13";"9"
"Matthijs de Ligt";"100";"6";"7";"11";"8";"13";"10";"16";"10";"5";"15";"14";"8";"16";"14";"16";"14";"17";"15";"13";"12";"14";"16";"10";"17";"8";"15";"15";"15";"12";"12";"15";"16";"13";"13";"15";"18";"14";"9"
"Cristiano Ronaldo";"101";"10";"11";"11";"19";"15";"10";"19";"15";"5";"3";"13";"19";"2";"15";"6";"18";"12";"15";"14";"11";"12";"20";"17";"18";"17";"2";"5";"7";"12";"10";"13";"17";"16";"13";"13";"15";"13";"12"
"Nicolás Otamendi";"102";"5";"8";"11";"10";"13";"6";"15";"6";"11";"18";"13";"10";"16";"12";"17";"18";"20";"14";"15";"12";"13";"18";"6";"19";"13";"14";"18";"18";"10";"13";"16";"13";"16";"10";"15";"15";"15";"16"
"Memphis Depay";"103";"14";"14";"15";"15";"16";"14";"11";"14";"2";"3";"15";"14";"3";"16";"9";"13";"13";"14";"10";"14";"13";"15";"17";"15";"15";"5";"12";"11";"16";"14";"14";"10";"16";"16";"14";"14";"12";"7"
"Keylor Navas";"104";"3";"3";"3";"1";"10";"1";"9";"1";"1";"2";"10";"2";"3";"8";"11";"15";"15";"13";"17";"8";"15";"16";"8";"12";"1";"14";"15";"15";"12";"17";"14";"12";"17";"13";"14";"13";"15";"4"
