"Name(ocultar)";"Futbolista_ID";"Alcance aéreo";"Liderazgo en el área";"Comunicación";"Exentricidad";"Manejo de balón";"Despeje de balón";"1 vs 1";"Reflejos";"Salir a por el balón ";"Puños de portero";"Lanzamientos de portero"
"Marc Cucurella";"185";"3";"2";"3";"3";"3";"1";"3";"1";"3";"1";"3"
"Nacho";"186";"3";"1";"1";"3";"3";"3";"2";"4";"2";"3";"3"
"Otávio";"187";"2";"3";"3";"3";"3";"3";"2";"3";"2";"2";"2"
"Chris Smalling";"188";"3";"1";"3";"3";"1";"3";"3";"3";"4";"4";"1"
"Alessandro Bastoni";"189";"3";"2";"3";"1";"2";"3";"2";"2";"2";"2";"1"
"Marco Asensio";"190";"3";"2";"1";"1";"2";"2";"2";"1";"2";"3";"1"
"Kieran Trippier";"191";"3";"4";"1";"1";"2";"2";"1";"3";"3";"3";"2"
"Juan Cuadrado";"192";"1";"1";"2";"1";"3";"1";"2";"2";"2";"1";"2"
"Benjamin Pavard";"193";"2";"3";"1";"3";"4";"1";"4";"2";"2";"1";"2"
"James Ward-Prowse";"194";"2";"3";"3";"3";"1";"3";"3";"3";"2";"3";"1"
"Dani Olmo";"195";"4";"2";"2";"3";"3";"3";"3";"3";"2";"3";"3"
"Giovanni Di Lorenzo";"196";"2";"2";"2";"2";"3";"3";"2";"2";"1";"4";"3"
"Cody Gakpo";"197";"2";"3";"1";"1";"1";"2";"2";"1";"3";"4";"1"
"Raúl Albiol";"198";"1";"2";"2";"1";"1";"1";"3";"1";"3";"2";"1"
"Samir Handanovič";"199";"13";"16";"18";"5";"15";"11";"17";"18";"13";"14";"11"
"Rodrygo";"200";"1";"3";"3";"2";"2";"2";"1";"3";"4";"2";"1"
"William Carvalho";"201";"3";"3";"1";"1";"2";"1";"3";"1";"2";"3";"2"
"João Palhinha";"202";"3";"1";"2";"2";"1";"2";"3";"1";"3";"1";"2"
"Steven Berghuis";"203";"2";"2";"1";"2";"1";"2";"3";"1";"3";"3";"3"
"Leandro Trossard";"204";"1";"2";"3";"1";"3";"2";"2";"1";"2";"3";"2"
"Patrik Schick";"205";"1";"3";"2";"3";"2";"2";"2";"1";"4";"1";"3"
"Dani Carvajal";"206";"3";"1";"1";"1";"1";"1";"3";"1";"3";"2";"3"
"Iker Muniain";"207";"1";"3";"1";"3";"2";"4";"2";"3";"2";"2";"2"
"Ismaël Bennacer";"208";"2";"4";"2";"2";"1";"2";"1";"1";"2";"1";"2"
"Dominic Calvert-Lewin";"209";"1";"1";"3";"1";"3";"2";"2";"1";"2";"2";"3"
"Ibrahima Konaté";"210";"3";"3";"1";"2";"2";"3";"2";"1";"3";"1";"4"
"Zlatan Ibrahimović";"211";"2";"2";"1";"4";"3";"2";"3";"3";"2";"2";"1"
"Lucas Ocampos";"212";"3";"1";"2";"2";"3";"1";"1";"2";"1";"3";"3"
"Youri Tielemans";"213";"1";"2";"3";"2";"2";"1";"3";"1";"2";"2";"1"
"Kostas Tsimikas";"214";"2";"1";"3";"2";"3";"2";"1";"1";"3";"2";"2"
"Kalvin Phillips";"215";"2";"2";"4";"3";"1";"1";"3";"2";"2";"2";"3"
"Joe Gomez";"216";"4";"2";"1";"2";"1";"3";"2";"3";"4";"1";"1"
"Wissam Ben Yedder";"217";"3";"1";"2";"2";"1";"3";"4";"3";"3";"1";"2"
"Arkadiusz Milik";"218";"1";"1";"2";"1";"3";"2";"3";"3";"3";"3";"3"
"Leonardo Bonucci";"219";"1";"2";"2";"3";"3";"1";"1";"3";"4";"2";"2"
"Marcus Rashford";"220";"2";"2";"2";"2";"3";"2";"1";"1";"2";"3";"1"
"Kieran Tierney";"221";"2";"2";"3";"1";"3";"1";"3";"1";"3";"4";"2"
"David Silva";"222";"3";"2";"2";"2";"3";"1";"2";"1";"2";"3";"3"
"David Neres";"223";"4";"2";"1";"2";"1";"1";"3";"2";"4";"2";"3"
"Stefan de Vrij";"224";"3";"3";"3";"3";"1";"1";"2";"3";"2";"3";"3"
"Duván Zapata";"225";"4";"1";"3";"1";"1";"3";"2";"2";"2";"2";"2"
"Wesley Fofana";"226";"3";"1";"1";"4";"3";"4";"2";"3";"1";"2";"3"
"Arnaut Danjuma";"227";"1";"3";"2";"1";"1";"1";"2";"1";"1";"3";"3"
"Steven Bergwijn";"228";"1";"1";"2";"3";"1";"1";"3";"3";"2";"2";"1"
"Bremer";"229";"1";"1";"2";"1";"2";"1";"3";"2";"1";"1";"3"
"Alexander Isak";"230";"2";"3";"3";"3";"1";"1";"3";"2";"3";"3";"2"
"Mats Hummels";"231";"1";"1";"1";"2";"2";"1";"1";"1";"3";"2";"1"
"Stefan Savić";"232";"2";"3";"3";"2";"3";"2";"3";"2";"2";"1";"1"
"Olivier Giroud";"233";"2";"3";"1";"3";"3";"2";"2";"1";"1";"2";"3"
"Borja Iglesias";"234";"3";"2";"1";"2";"3";"2";"1";"1";"2";"2";"2"
"Diogo Costa";"235";"13";"14";"14";"7";"14";"16";"14";"16";"12";"8";"12"
"Moussa Diaby";"236";"1";"1";"4";"3";"2";"1";"2";"1";"3";"1";"1"
"Edin Džeko";"237";"1";"2";"1";"1";"2";"2";"2";"3";"3";"3";"4"
"Mateus Uribe";"238";"1";"2";"3";"2";"1";"1";"1";"1";"1";"3";"2"
"Diego Carlos";"239";"2";"2";"1";"1";"1";"1";"1";"2";"1";"4";"3"
"Idrissa Gueye";"240";"1";"1";"1";"3";"3";"2";"3";"1";"3";"1";"1"
"Ricardo Horta";"241";"4";"1";"2";"1";"2";"1";"3";"3";"2";"2";"2"
"Álex Remiro";"242";"14";"15";"13";"8";"15";"15";"13";"16";"14";"11";"13"
"Edson Álvarez";"243";"1";"2";"2";"4";"3";"2";"1";"2";"2";"4";"2"
"James Rodríguez";"244";"3";"2";"2";"2";"3";"1";"2";"3";"1";"1";"4"
"Thomas Partey";"245";"2";"2";"2";"1";"3";"2";"3";"3";"3";"1";"2"
"Marko Arnautović";"246";"2";"3";"1";"2";"2";"1";"2";"2";"3";"1";"1"
"Nicolò Zaniolo";"247";"3";"2";"2";"1";"2";"1";"1";"1";"1";"4";"2"
"Wilfried Zaha";"248";"3";"3";"1";"1";"1";"3";"3";"1";"3";"2";"2"
"Marcos Acuña";"249";"3";"1";"2";"2";"1";"2";"1";"2";"3";"3";"3"
"Yassine Bounou";"250";"14";"15";"15";"4";"16";"15";"16";"15";"9";"11";"15"
"Jarrod Bowen";"251";"1";"3";"1";"3";"1";"1";"3";"2";"2";"2";"3"
"Aaron Ramsdale";"252";"14";"15";"14";"10";"15";"16";"16";"16";"11";"10";"16"
"Gabriel Paulista";"253";"3";"2";"2";"1";"2";"1";"2";"1";"3";"1";"3"
"Héctor Herrera";"254";"1";"1";"1";"2";"1";"3";"2";"1";"1";"1";"2"
"Tomáš Souček";"255";"2";"2";"4";"1";"2";"1";"1";"2";"2";"3";"1"
"Enzo Fernández";"256";"3";"2";"3";"2";"3";"2";"3";"1";"3";"3";"2"
"Pedro Porro";"257";"1";"1";"1";"2";"3";"1";"1";"1";"1";"3";"3"
"Bruno Guimarães";"258";"4";"2";"1";"1";"3";"1";"3";"1";"3";"3";"4"
"Hakim Ziyech";"259";"3";"1";"3";"2";"2";"1";"1";"1";"1";"3";"4"
"Allan Saint-Maximin";"260";"2";"3";"2";"2";"2";"1";"2";"2";"1";"1";"3"
"Darwin Núñez";"261";"4";"3";"3";"1";"3";"2";"1";"1";"1";"1";"1"
"Raúl Jiménez";"262";"1";"2";"3";"1";"3";"2";"3";"4";"1";"3";"1"
"Mauro Icardi";"263";"2";"1";"1";"2";"2";"3";"1";"1";"2";"4";"1"
"Stanislav Lobotka";"264";"1";"2";"2";"3";"3";"3";"3";"3";"3";"3";"1"
"Danilo";"265";"2";"1";"2";"1";"3";"1";"2";"3";"3";"3";"2"
"Danilo Pereira";"266";"2";"1";"3";"2";"3";"3";"2";"2";"2";"3";"3"
"Matheus Nunes";"267";"1";"1";"3";"1";"2";"2";"2";"3";"1";"2";"1"
"Neto";"268";"13";"14";"14";"8";"13";"10";"15";"17";"14";"13";"12"
"Vitinha";"269";"2";"2";"1";"3";"1";"1";"1";"1";"1";"2";"1"
"André Onana";"270";"15";"14";"13";"15";"15";"14";"15";"15";"16";"5";"15"
"Angeliño";"271";"4";"2";"1";"1";"2";"2";"2";"3";"1";"3";"1"
"Pierre Kalulu";"272";"1";"2";"3";"3";"2";"1";"2";"1";"1";"1";"2"
"Konrad Laimer";"273";"2";"1";"1";"1";"3";"1";"3";"1";"4";"3";"2"
"Raphaël Guerreiro";"274";"1";"1";"1";"1";"1";"2";"1";"2";"2";"1";"1"
"Thomas Lemar";"275";"3";"2";"1";"1";"1";"3";"3";"2";"3";"2";"3"
"Geoffrey Kondogbia";"276";"2";"4";"1";"1";"2";"1";"2";"1";"1";"3";"3"
"Robin Le Normand";"277";"3";"3";"2";"3";"3";"1";"2";"3";"3";"2";"1"
"Ansu Fati";"278";"3";"2";"1";"3";"3";"1";"1";"1";"2";"2";"1"
"Amir Rrahmani";"279";"3";"2";"3";"3";"1";"3";"1";"2";"2";"2";"3"
"Felipe Anderson";"280";"2";"2";"2";"2";"2";"2";"2";"1";"3";"1";"3"
"Javi Galán";"281";"1";"1";"3";"2";"3";"3";"1";"2";"3";"1";"3"
"Rodrigo Bentancur";"282";"1";"2";"2";"3";"3";"2";"1";"1";"3";"1";"1"
"Nuno Mendes";"283";"2";"2";"2";"1";"1";"4";"2";"2";"4";"1";"3"
"Alex Oxlade-Chamberlain";"284";"2";"2";"1";"2";"3";"1";"3";"3";"3";"3";"2"
"Jurriën Timber";"285";"2";"3";"1";"1";"1";"1";"3";"3";"3";"3";"3"
"Davide Calabria";"286";"1";"1";"1";"1";"1";"3";"2";"3";"3";"1";"2"
"Teun Koopmeiners";"287";"1";"2";"1";"3";"1";"2";"2";"3";"2";"3";"1"
"Lorenzo Insigne";"288";"1";"4";"2";"1";"2";"1";"1";"2";"3";"2";"2"
"Henrikh Mkhitaryan";"289";"3";"3";"3";"3";"1";"2";"2";"2";"1";"2";"1"
"Wilfred Ndidi";"290";"1";"1";"2";"3";"1";"3";"1";"3";"2";"1";"1"
"Manuel Locatelli";"291";"1";"1";"4";"2";"3";"1";"3";"3";"3";"2";"3"
"João Moutinho";"292";"3";"3";"2";"3";"2";"1";"1";"2";"2";"1";"3"
"Leandro Paredes";"293";"3";"1";"1";"2";"1";"3";"2";"3";"1";"3";"3"
