"Name(ocultar)";"Futbolista_ID";"Nombre";"Apellidos";"Edad";"Posicion";"Nacionalidad 1";"Nacionalidad 2";"Nacionalidad 3";"Fecha de nacimiento";"Equipo";"Sueldo (Semanal)";"Sueldo (mensual)";"Sueldo (Anual)";"Club de Cesion (Solo Jugador cedido)";"Apariciones con la selección nacional";"Goles con la selección nacional"
"Ederson";"17";"Ederson";"";"28";"PORTERO";"Brazil";"Portugal";;"17/08/1993";"Manchester City";"208785";"835140";"10021680";;"18";"0"
"Rodri";"18";"Rodri";"";"26";"MEDIOCENTRO DEFENSIVO";"Spain";;;"22/06/1996";"Manchester City";"185587";"742348";"8908176";;"33";"1"
"Vinícius Júnior";"19";"Vinícius";"Júnior";"22";"EXTREMO";"Brazil";"Spain";;"12/07/2000";"R. Madrid";"215753";"863012";"10356144";;"14";"1"
"Marc-André ter Stegen";"20";"Marc-André";"ter Stegen";"30";"PORTERO";"Germany";;;"30/04/1992";"Barcelona";"164999";"659996";"7919952";;"28";"0"
"Rúben Dias";"21";"Rúben";"Dias";"25";"DEFENSA CENTRO";"Portugal";;;"14/05/1997";"Manchester City";"202986";"811944";"9743328";;"37";"2"
"Heung-Min Son";"22";"Heung-Min";"Son";"30";"EXTREMO";"South Korea";;;"08/07/1992";"Tottenham Hotspur";"222704";"890816";"10689792";;"102";"33"
"Sadio Mané";"23";"Sadio";"Mané";"30";"EXTREMO";"Senegal";;;"10/04/1992";"FC Bayern München";"354794";"1419176";"17030112";;"87";"32"
"Jan Oblak";"24";"Jan";"Oblak";"29";"PORTERO";"Slovenia";;;"07/01/1993";"A. Madrid";"356125";"1424500";"17094000";;"50";"0"
"Thomas Müller";"25";"Thomas";"Müller";"32";"DELANTERO";"Germany";;;"13/09/1989";"FC Bayern München";"335615";"1342460";"16109520";;"115";"42"
"Federico Valverde";"26";"Federico";"Valverde";"24";"CENTROCAMPISTA";"Uruguay";"Spain";;"22/07/1998";"R. Madrid";"209790";"839160";"10069920";;"42";"4"
"Thiago";"27";"Thiago";"";"31";"CENTROCAMPISTA";"Spain";"Brazil";;"11/04/1991";"Liverpool";"260981";"1043924";"12527088";;"46";"2"
"Aymeric Laporte";"28";"Aymeric";"Laporte";"28";"DEFENSA CENTRO";"Spain";"France";"Pays Basque";"27/05/1994";"Manchester City";"150789";"603156";"7237872";;"15";"1"
"Thiago Silva";"29";"Thiago";"Silva";"37";"DEFENSA CENTRO";"Brazil";"France";;"22/09/1984";"Chelsea";"114999";"459996";"5519952";;"107";"7"
"Raheem Sterling";"30";"Raheem";"Sterling";"27";"EXTREMO";"England";"Jamaica";;"08/12/1994";"Chelsea";"405971";"1623884";"19486608";;"77";"19"
"N'Golo Kanté";"31";"N'Golo";"Kanté";"31";"MEDIOCENTRO DEFENSIVO";"France";"Mali";;"29/03/1991";"Chelsea";"336376";"1345504";"16146048";;"53";"2"
"João Cancelo";"32";"João";"Cancelo";"28";"LATERAL";"Portugal";;;"27/05/1994";"Manchester City";"208785";"835140";"10021680";;"36";"7"
"Kai Havertz";"33";"Kai";"Havertz";"23";"EXTREMO";"Germany";;;"11/06/1999";"Chelsea";"173988";"695952";"8351424";;"28";"8"
"Jack Grealish";"34";"Jack";"Grealish";"26";"EXTREMO";"England";"Republic of Ireland";;"10/09/1995";"Manchester City";"313178";"1252712";"15032544";;"23";"1"
"Antonio Rüdiger";"35";"Antonio";"Rüdiger";"29";"DEFENSA CENTRO";"Germany";"Sierra Leone";;"03/03/1993";"R. Madrid";"244754";"979016";"11748192";;"53";"2"
"Toni Kroos";"36";"Toni";"Kroos";"32";"CENTROCAMPISTA";"Germany";;;"04/01/1990";"R. Madrid";"359588";"1438352";"17260224";;"105";"17"
"Luis Díaz";"37";"Luis";"Díaz";"25";"EXTREMO";"Colombia";;;"13/01/1997";"Liverpool";"104393";"417572";"5010864";;"37";"8"
"Bruno Fernandes";"38";"Bruno";"Fernandes";"27";"DEFENSA CENTRO";"Portugal";;;"08/09/1994";"Manchester UFC";"289979";"1159916";"13918992";;"46";"8"
"Mason Mount";"39";"Mason";"Mount";"23";"EXTREMO";"England";;;"10/01/1999";"Chelsea";"89314";"357256";"4287072";;"31";"4"
"Leroy Sané";"40";"Leroy";"Sané";"26";"EXTREMO";"Germany";"France";"Senegal";"11/01/1996";"FC Bayern München";"326026";"1304104";"15649248";;"45";"11"
"İlkay Gündogan";"41";"İlkay";"Gündogan";"31";"CENTROCAMPISTA";"Germany";"Turkey";;"24/10/1990";"Manchester City";"191386";"765544";"9186528";;"59";"14"
"Édouard Mendy";"42";"Édouard";"Mendy";"30";"PORTERO";"Senegal";"Guinea-Bissau";"France";"01/03/1992";"Chelsea";"57996";"231984";"2783808";;"25";"0"
"Yannick Carrasco";"43";"Yannick";"Carrasco";"28";"CENTROCAMPISTA";"Belgium";"Spain";"Portugal";"04/09/1993";"A. Madrid";"164999";"659996";"7919952";;"57";"8"
"Reece James";"44";"Reece";"James";"22";"LATERAL";"England";;;"08/12/1999";"Chelsea";"289979";"1159916";"13918992";;"13";"0"
"David Alaba";"45";"David";"Alaba";"30";"LATERAL";"Austria";"Philippines";"Nigeria";"24/06/1992";"R. Madrid";"419579";"1678316";"20139792";;"94";"14"
"Mateo Kovačić";"46";"Mateo";"Kovačić";"28";"MEDIOCENTRO DEFENSIVO";"Croatia";"Austria";;"06/05/1994";"Chelsea";"173988";"695952";"8351424";;"81";"3"
"Kyle Walker";"47";"Kyle";"Walker";"32";"LATERAL";"England";;;"28/05/1990";"Manchester City";"202986";"811944";"9743328";;"68";"0"
"Marco Verratti";"48";"Marco";"Verratti";"29";"MEDIOCENTRO DEFENSIVO";"Italy";;;"05/11/1992";"Paris Saint-Germain";"276164";"1104656";"13255872";;"49";"3"
"Leon Goretzka";"49";"Leon";"Goretzka";"27";"CENTROCAMPISTA";"Germany";;;"06/02/1995";"FC Bayern München";"268492";"1073968";"12887616";;"44";"14"
"Jorginho";"50";"Jorginho";"";"30";"MEDIOCENTRO DEFENSIVO";"Italy";"Brazil";;"20/12/1991";"Chelsea";"127591";"510364";"6124368";;"44";"5"
"Marquinhos";"51";"Marquinhos";"";"28";"DEFENSA CENTRO";"Brazil";"Portugal";;"14/05/1994";"Paris Saint-Germain";"276164";"1104656";"13255872";;"69";"4"
"Phil Foden";"52";"Phil";"Foden";"22";"EXTREMO";"England";;;"28/05/2000";"Manchester City";"139190";"556760";"6681120";;"16";"2"
"Frenkie de Jong";"53";"Frenkie";"de Jong";"25";"MEDIOCENTRO DEFENSIVO";"Holland";;;"12/05/1997";"Barcelona";"269230";"1076920";"12923040";;"43";"1"
"Rafael Leão";"54";"Rafael";"Leão";"23";"EXTREMO";"Portugal";"Angola";;"10/06/1999";"AC Milan";"34423";"137692";"1652304";;"9";"0"
"Gabriel Jesus";"55";"Gabriel";"Jesus";"25";"EXTREMO";"Brazil";;;"03/04/1997";"Arsenal";"139190";"556760";"6681120";;"56";"19"
"Antoine Griezmann";"56";"Antoine";"Griezmann";"31";"EXTREMO";"France";"Portugal";"Pays Basque";"21/03/1991";"A. Madrid";"268492";"1073968";"12887616";;"108";"42"
"Romelu Lukaku";"57";"Romelu";"Lukaku";"29";"DELANTERO";"Belgium";"Democratic Republic of Congo";;"13/05/1993";"Chelsea";"405971";"1623884";"19486608";"FC Internazionale Milano";"102";"68"
"Jules Koundé";"58";"Jules";"Koundé";"23";"LATERAL";"France";"Benin";;"12/11/1998";"Barcelona";"182692";"730768";"8769216";;"11";"0"
"Declan Rice";"59";"Declan";"Rice";"23";"MEDIOCENTRO DEFENSIVO";"England";"Republic of Ireland";;"14/01/1999";"West Ham United";"69595";"278380";"3340560";;"32";"2"
"Kingsley Coman";"60";"Kingsley";"Coman";"26";"EXTREMO";"France";"Guinea";"Guadeloupe";"13/06/1996";"FC Bayern München";"287670";"1150680";"13808160";;"40";"5"
"Sergej Milinković-Savić";"61";"Sergej";"Milinković-Savić";"27";"CENTROCAMPISTA";"Serbia";"Spain";;"27/02/1995";"S.S. Lazio";"114037";"456148";"5473776";;"34";"6"
"Ousmane Dembélé";"62";"Ousmane";"Dembélé";"25";"EXTREMO";"France";"Mauritania";;"15/05/1997";"Barcelona";"230768";"923072";"11076864";;"27";"4"
"Gianluigi Donnarumma";"63";"Gianluigi";"Donnarumma";"23";"PORTERO";"Italy";;;"25/02/1999";"Paris Saint-Germain";"249315";"997260";"11967120";;"46";"0"
"Casemiro";"64";"Casemiro";"";"30";"MEDIOCENTRO DEFENSIVO";"Brazil";"Spain";;"23/02/1992";"Manchester UFC";"347975";"1391900";"16702800";;"63";"5"
"Mike Maignan";"65";"Mike";"Maignan";"27";"PORTERO";"France";"French Guiana";"Haiti";"03/07/1995";"AC Milan";"69037";"276148";"3313776";;"4";"0"
"Milan Škriniar";"66";"Milan";"Škriniar";"27";"DEFENSA CENTRO";"Slovakia";;;"11/02/1995";"FC Internazionale Milano";"106922";"427688";"5132256";;"54";"3"
"Sergio Ramos";"67";"Sergio";"Ramos";"36";"DEFENSA CENTRO";"Spain";;;"30/03/1986";"Paris Saint-Germain";"261204";"1044816";"12537792";;"180";"23"
"Lautaro Martínez";"68";"Lautaro";"Martínez";"24";"DELANTERO";"Argentina";;;"22/08/1997";"FC Internazionale Milano";"213653";"854612";"10255344";;"38";"20"
"Christian Eriksen";"69";"Christian";"Eriksen";"30";"CENTROCAMPISTA";"Denmark";;;"14/02/1992";"Manchester UFC";"197186";"788744";"9464928";;"115";"38"
"Bukayo Saka";"70";"Bukayo";"Saka";"20";"EXTREMO";"England";"Nigeria";;"05/09/2001";"Arsenal";"57996";"231984";"2783808";;"18";"4"
"John Stones";"71";"John";"Stones";"28";"DEFENSA CENTRO";"England";;;"28/05/1994";"Manchester City";"231983";"927932";"11135184";;"58";"3"
"Fabinho";"72";"Fabinho";"";"28";"MEDIOCENTRO DEFENSIVO";"Brazil";;;"23/10/1993";"Liverpool";"208785";"835140";"10021680";;"27";"0"
"Nicolò Barella";"73";"Nicolò";"Barella";"25";"CENTROCAMPISTA";"Italy";;;"07/02/1997";"FC Internazionale Milano";"178076";"712304";"8547648";;"39";"8"
"Achraf Hakimi";"74";"Achraf";"Hakimi";"23";"LATERAL";"Morocco";"Spain";;"04/11/1998";"Paris Saint-Germain";"199067";"796268";"9555216";;"51";"8"
"Raphaël Varane";"75";"Raphaël";"Varane";"29";"DEFENSA CENTRO";"France";"Martinique";;"25/04/1993";"Manchester UFC";"405971";"1623884";"19486608";;"86";"5"
"Riyad Mahrez";"76";"Riyad";"Mahrez";"31";"EXTREMO";"Algeria";"France";"Morocco";"21/02/1991";"Manchester City";"231983";"927932";"11135184";;"75";"26"
"Ángel Di María";"77";"Ángel";"Di María";"34";"EXTREMO";"Argentina";"Italy";;"14/02/1988";"Juventus";"147885";"591540";"7098480";;"122";"25"
"Ciro Immobile";"78";"Ciro";"Immobile";"32";"DELANTERO";"Italy";;;"20/02/1990";"S.S. Lazio";"142499";"569996";"6839952";;"55";"15"
"Kalidou Koulibaly";"79";"Kalidou";"Koulibaly";"31";"DEFENSA CENTRO";"Senegal";"France";;"20/06/1991";"Chelsea";"347975";"1391900";"16702800";;"61";"0"
"Trent Alexander-Arnold";"80";"Trent";"Alexander-Arnold";"23";"LATERAL";"England";;;"07/10/1998";"Liverpool";"185587";"742348";"8908176";;"17";"1"
"Paul Pogba";"81";"Paul";"Pogba";"29";"CENTROCAMPISTA";"France";"Guinea";;"15/03/1993";"Juventus";"197308";"789232";"9470784";;"91";"11"
"Ronald Araujo";"82";"Ronald";"Araujo";"23";"DEFENSA CENTRO";"Uruguay";;;"07/03/1999";"Barcelona";"144230";"576920";"6923040";;"11";"0"
"Serge Gnabry";"83";"Serge";"Gnabry";"27";"EXTREMO";"Germany";"Ivory Coast";;"14/07/1995";"FC Bayern München";"306848";"1227392";"14728704";;"34";"20"
"Paulo Dybala";"84";"Paulo";"Dybala";"28";"EXTREMO";"Argentina";"Poland";"Italy";"15/11/1993";"Associazione Sportiva Roma";"160192";"640768";"7689216";;"34";"3"
"Éder Militão";"85";"Éder";"Militão";"24";"DEFENSA CENTRO";"Brazil";;;"18/01/1998";"R. Madrid";"178081";"712324";"8547888";;"22";"1"
"Alphonso Davies";"86";"Alphonso";"Davies";"21";"LATERAL";"Canada";"Liberia";"Ghana";"02/11/2000";"FC Bayern München";"191781";"767124";"9205488";;"32";"12"
"Martin Ødegaard";"87";"Martin";"Ødegaard";"23";"CENTROCAMPISTA";"Norway";;;"17/12/1998";"Arsenal";"139190";"556760";"6681120";;"43";"2"
"Marcelo Brozović";"88";"Marcelo";"Brozović";"29";"MEDIOCENTRO DEFENSIVO";"Croatia";;;"16/11/1992";"FC Internazionale Milano";"213653";"854612";"10255344";;"74";"7"
"Pedri";"89";"Pedri";"";"19";"CENTROCAMPISTA";"Spain";;;"25/11/2002";"Barcelona";"172603";"690412";"8284944";;"12";"0"
"Aurélien Tchouameni";"90";"Aurélien";"Tchouameni";"22";"CENTROCAMPISTA";"France";"Cameroon";;"27/01/2000";"R. Madrid";"138081";"552324";"6627888";;"12";"1"
"João Félix";"91";"João";"Félix";"22";"EXTREMO";"Portugal";;;"10/11/1999";"A. Madrid";"180287";"721148";"8653776";;"22";"3"
"Theo Hernández";"92";"Theo";"Hernández";"24";"LATERAL";"France";"Spain";;"06/10/1997";"AC Milan";"98653";"394612";"4735344";;"7";"1"
"José Gayà";"93";"José";"Gayà";"27";"LATERAL";"Spain";;;"25/05/1995";"Valencia";"67280";"269120";"3229440";;"17";"3"
"José Giménez";"94";"José";"Giménez";"27";"DEFENSA CENTRO";"Uruguay";"Spain";;"20/01/1995";"A. Madrid";"96153";"384612";"4615344";;"78";"8"
"Presnel Kimpembe";"95";"Presnel";"Kimpembe";"26";"DEFENSA CENTRO";"France";"Democratic Republic of Congo";;"13/08/1995";"Paris Saint-Germain";"191781";"767124";"9205488";;"28";"0"
"Marco Reus";"96";"Marco";"Reus";"33";"EXTREMO";"Germany";;;"31/05/1989";"Borussia Dortmund";"191780";"767120";"9205440";;"48";"15"
"Andrew Robertson";"97";"Andrew";"Robertson";"28";"LATERAL";"Scotland";;;"11/03/1994";"Liverpool";"185587";"742348";"8908176";;"59";"3"
"Mikel Oyarzábal";"98";"Mikel";"Oyarzábal";"25";"EXTREMO";"Spain";"Pays Basque";;"21/04/1997";"Real San Sebastián";"43121";"172484";"2069808";;"21";"6"
"Yves Bissouma";"99";"Yves";"Bissouma";"25";"MEDIOCENTRO DEFENSIVO";"Mali";"Ivory Coast";;"30/08/1996";"Tottenham Hotspur";"104393";"417572";"5010864";;"26";"3"
"Matthijs de Ligt";"100";"Matthijs";"de Ligt";"22";"DEFENSA CENTRO";"Holland";;;"12/08/1999";"FC Bayern München";"306848";"1227392";"14728704";;"37";"2"
"Cristiano Ronaldo";"101";"Cristiano";"Ronaldo";"37";"DELANTERO";"Portugal";;;"05/02/1985";"Manchester UFC";"556760";"2227040";"26724480";;"189";"117"
"Nicolás Otamendi";"102";"Nicolás";"Otamendi";"34";"DEFENSA CENTRO";"Argentina";;;"12/02/1988";"SL Benfica";"38174";"152696";"1832352";;"91";"4"
"Memphis Depay";"103";"Memphis";"Depay";"28";"EXTREMO";"Holland";"Ghana";;"13/02/1994";"Barcelona";"184911";"739644";"8875728";;"79";"42"
"Keylor Navas";"104";"Keylor";"Navas";"35";"PORTERO";"Costa Rica";"Spain";;"15/12/1986";"Paris Saint-Germain";"230137";"920548";"11046576";;"107";"0"
"Christopher Nkunku";"105";"Christopher";"Nkunku";"24";"EXTREMO";"France";"Democratic Republic of Congo";;"14/11/1997";"RB Leipzig";"143836";"575344";"6904128";;"6";"0"
"Ben Chilwell";"106";"Ben";"Chilwell";"25";"LATERAL";"England";"New Zealand";;"21/12/1996";"Chelsea";"220384";"881536";"10578432";;"17";"1"
"Diogo Jota";"107";"Diogo";"Jota";"25";"EXTREMO";"Portugal";;;"04/12/1996";"Liverpool";"162388";"649552";"7794624";;"27";"9"
"Pepe";"108";"Pepe";"";"39";"DEFENSA CENTRO";"Portugal";"Brazil";;"26/02/1983";"FC Porto";"57533";"230132";"2761584";;"128";"7"
"Victor Osimhen";"109";"Victor";"Osimhen";"23";"DELANTERO";"Nigeria";;;"29/12/1998";"Parthenope";"110961";"443844";"5326128";;"23";"15"
"Dušan Tadić";"110";"Dušan";"Tadić";"33";"EXTREMO";"Serbia";;;"20/11/1988";"AFC Ajax";"85000";"340000";"4080000";;"88";"18"
"Joël Matip";"111";"Joël";"Matip";"30";"DEFENSA CENTRO";"Cameroon";"Germany";;"08/08/1991";"Liverpool";"162388";"649552";"7794624";;"27";"1"
"Sergio Canales";"112";"Sergio";"Canales";"31";"CENTROCAMPISTA";"Spain";;;"16/02/1991";"Real Hispalis";"31256";"125024";"1500288";;"10";"1"
"Koke";"113";"Koke";"";"30";"CENTROCAMPISTA";"Spain";;;"08/01/1992";"A. Madrid";"306644";"1226576";"14718912";;"66";"0"
"Pau Torres";"114";"Pau";"Torres";"25";"DEFENSA CENTRO";"Spain";;;"16/01/1997";"Villarreal";"56871";"227484";"2729808";;"19";"1"
"Sergio Busquets";"115";"Sergio";"Busquets";"34";"MEDIOCENTRO DEFENSIVO";"Spain";;;"16/07/1988";"Barcelona";"230768";"923072";"11076864";;"137";"2"
"Franck Kessié";"116";"Franck";"Kessié";"25";"MEDIOCENTRO DEFENSIVO";"Ivory Coast";"Italy";;"19/12/1996";"Barcelona";"230768";"923072";"11076864";;"56";"6"
"Ferland Mendy";"117";"Ferland";"Mendy";"27";"LATERAL";"France";"Senegal";"Guinea-Bissau";"08/06/1995";"R. Madrid";"178081";"712324";"8547888";;"7";"0"
"Gonçalo Guedes";"118";"Gonçalo";"Guedes";"25";"EXTREMO";"Portugal";;;"29/11/1996";"Wolverhampton Wanderers";"104393";"417572";"5010864";;"32";"7"
"Ángel Correa";"119";"Ángel";"Correa";"27";"EXTREMO";"Argentina";"Spain";;"09/03/1995";"A. Madrid";"96153";"384612";"4615344";;"20";"3"
"Kurt Zouma";"120";"Kurt";"Zouma";"27";"LATERAL";"France";"Central African Republic";;"27/10/1994";"West Ham United";"115992";"463968";"5567616";;"11";"1"
"Sandro Tonali";"121";"Sandro";"Tonali";"22";"MEDIOCENTRO DEFENSIVO";"Italy";;;"08/05/2000";"AC Milan";"89038";"356152";"4273824";;"11";"0"
"Eden Hazard";"122";"Eden";"Hazard";"31";"EXTREMO";"Belgium";;;"07/01/1991";"R. Madrid";"445204";"1780816";"21369792";;"120";"33"
"Federico Chiesa";"123";"Federico";"Chiesa";"24";"EXTREMO";"Italy";;;"25/10/1997";"Juventus";"178076";"712304";"8547648";;"37";"4"
"Oleksandr Zinchenko";"124";"Oleksandr";"Zinchenko";"25";"LATERAL";"Ukraine";;;"15/12/1996";"Arsenal";"139190";"556760";"6681120";;"52";"8"
"Ivan Perišić";"125";"Ivan";"Perišić";"33";"EXTREMO";"Croatia";;;"02/02/1989";"Tottenham Hotspur";"208785";"835140";"10021680";;"113";"32"
"Manuel Akanji";"126";"Manuel";"Akanji";"27";"DEFENSA CENTRO";"Switzerland";"Nigeria";;"19/07/1995";"Manchester City";"104393";"417572";"5010864";;"41";"0"
"Guido Rodríguez";"127";"Guido";"Rodríguez";"28";"MEDIOCENTRO DEFENSIVO";"Argentina";"Italy";;"12/04/1994";"Real Hispalis";"31008";"124032";"1488384";;"24";"1"
"Alejandro Gómez";"128";"Alejandro";"Gómez";"34";"EXTREMO";"Argentina";"Italy";;"15/02/1988";"Sevilla";"71154";"284616";"3415392";;"14";"3"
"Dani Parejo";"129";"Dani";"Parejo";"33";"CENTROCAMPISTA";"Spain";;;"16/04/1989";"Villarreal";"53118";"212472";"2549664";;"4";"0"
"Andreas Christensen";"130";"Andreas";"Christensen";"26";"MEDIOCENTRO DEFENSIVO";"Denmark";;;"10/04/1996";"Barcelona";"230768";"923072";"11076864";;"56";"2"
"Lucas Hernández";"131";"Lucas";"Hernández";"26";"LATERAL";"France";"Spain";;"14/02/1996";"FC Bayern München";"249315";"997260";"11967120";;"32";"0"
"Sebastián Coates";"132";"Sebastián";"Coates";"31";"DEFENSA CENTRO";"Uruguay";"Spain";"Scotland";"07/10/1990";"Sporting Clube de Portugal";"36205";"144820";"1737840";;"47";"1"
"Rafa";"133";"Rafa";"";"29";"EXTREMO";"Portugal";;;"17/05/1993";"SL Benfica";"32142";"128568";"1542816";;"25";"0"
"Carlos Soler";"134";"Carlos";"Soler";"25";"CENTROCAMPISTA";"Spain";;;"02/01/1997";"Paris Saint-Germain";"108102";"432408";"5188896";;"9";"3"
"Roberto Firmino";"135";"Roberto";"Firmino";"30";"EXTREMO";"Brazil";;;"02/10/1991";"Liverpool";"208785";"835140";"10021680";;"55";"17"
"Marcos Llorente";"136";"Marcos";"Llorente";"27";"CENTROCAMPISTA";"Spain";;;"30/01/1995";"A. Madrid";"153846";"615384";"7384608";;"16";"0"
"Gerard Piqué";"137";"Gerard";"Piqué";"35";"DEFENSA CENTRO";"Spain";;;"02/02/1987";"Barcelona";"119999";"479996";"5759952";;"102";"5"
"Jamal Musiala";"138";"Jamal";"Musiala";"19";"EXTREMO";"Germany";"England";"Nigeria";"26/02/2003";"FC Bayern München";"105478";"421912";"5062944";;"15";"1"
"Lorenzo Pellegrini";"139";"Lorenzo";"Pellegrini";"26";"CENTROCAMPISTA";"Italy";;;"19/06/1996";"Associazione Sportiva Roma";"142499";"569996";"6839952";;"23";"5"
"Naby Keïta";"140";"Naby";"Keïta";"27";"MEDIOCENTRO DEFENSIVO";"Guinea";;;"10/02/1995";"Liverpool";"150789";"603156";"7237872";;"50";"11"
"Fabián";"141";"Fabián";"";"26";"CENTROCAMPISTA";"Spain";;;"03/04/1996";"Paris Saint-Germain";"53364";"213456";"2561472";;"15";"1"
"Piotr Zieliński";"142";"Piotr";"Zieliński";"28";"CENTROCAMPISTA";"Poland";;;"20/05/1994";"Parthenope";"124615";"498460";"5981520";;"72";"9"
"Jadon Sancho";"143";"Jadon";"Sancho";"22";"EXTREMO";"England";"Trinidad and Tobago";;"25/03/2000";"Manchester UFC";"318977";"1275908";"15310896";;"23";"3"
"Raphinha";"144";"Raphinha";"";"25";"EXTREMO";"Brazil";"Italy";;"14/12/1996";"Barcelona";"230768";"923072";"11076864";;"9";"3"
"Jude Bellingham";"145";"Jude";"Bellingham";"19";"MEDIOCENTRO DEFENSIVO";"England";;;"29/06/2003";"Borussia Dortmund";"56999";"227996";"2735952";;"15";"0"
"Timo Werner";"146";"Timo";"Werner";"26";"EXTREMO";"Germany";;;"06/03/1996";"RB Leipzig";"191781";"767124";"9205488";;"53";"24"
"Unai Simón";"147";"Unai";"Simón";"25";"PORTERO";"Spain";"Pays Basque";;"11/06/1997";"A. Bilbao";"48957";"195828";"2349936";;"25";"0"
"Pablo Sarabia";"148";"Pablo";"Sarabia";"30";"EXTREMO";"Spain";;;"11/05/1992";"Paris Saint-Germain";"103561";"414244";"4970928";;"22";"9"
"Christian Pulisic";"149";"Christian";"Pulisic";"23";"EXTREMO";"United States";"Croatia";;"18/09/1998";"Chelsea";"173988";"695952";"8351424";;"51";"21"
"Rodrigo De Paul";"150";"Rodrigo";"De Paul";"28";"EXTREMO";"Argentina";"Italy";;"24/05/1994";"A. Madrid";"111504";"446016";"5352192";;"41";"2"
"Niklas Süle";"151";"Niklas";"Süle";"26";"LATERAL";"Germany";;;"03/09/1995";"Borussia Dortmund";"192307";"769228";"9230736";;"40";"1"
"Dayot Upamecano";"152";"Dayot";"Upamecano";"23";"DEFENSA CENTRO";"France";"Guinea-Bissau";;"27/10/1998";"FC Bayern München";"230137";"920548";"11046576";;"6";"1"
"Gerard Moreno";"153";"Gerard";"Moreno";"30";"EXTREMO";"Spain";;;"07/04/1992";"Villarreal";"51243";"204972";"2459664";;"17";"5"
"Ferran Torres";"154";"Ferran";"Torres";"22";"EXTREMO";"Spain";;;"29/02/2000";"Barcelona";"70000";"280000";"3360000";;"28";"13"
"Iago Aspas";"155";"Iago";"Aspas";"34";"EXTREMO";"Spain";;;"01/08/1987";"Vigo";"49863";"199452";"2393424";;"18";"6"
"Jordan Henderson";"156";"Jordan";"Henderson";"32";"MEDIOCENTRO DEFENSIVO";"England";;;"17/06/1990";"Liverpool";"220384";"881536";"10578432";;"69";"2"
"Jordi Alba";"157";"Jordi";"Alba";"33";"LATERAL";"Spain";;;"21/03/1989";"Barcelona";"215384";"861536";"10338432";;"85";"9"
"Dejan Kulusevski";"158";"Dejan";"Kulusevski";"22";"EXTREMO";"Sweden";"North Macedonia";;"25/04/2000";"Juventus";"88941";"355764";"4269168";"Tottenham Hotspur";"25";"2"
